alpha,fidelity_quantum,fidelity_classical,trace_dist_quantum,trace_dist_classical
0.010000,0.9143748436,0.7704423429,0.1032094821,0.2225307926
0.043448,0.9213544044,0.8041604140,0.0969276334,0.2063690588
0.076897,0.9272851344,0.8289608216,0.0887828500,0.1910159844
0.110345,0.9327049334,0.8492813788,0.0803828948,0.1764372531
0.143793,0.9377685356,0.8667190397,0.0719754329,0.1626003730
0.177241,0.9425769977,0.8820665459,0.0636869920,0.1494745731
0.210690,0.9471534856,0.8957813008,0.0555993640,0.1370307031
0.244138,0.9515084109,0.9081523877,0.0477600756,0.1252411363
0.277586,0.9556070908,0.9193746309,0.0454572503,0.1140796764
0.311034,0.9596219069,0.9295860934,0.0439237346,0.1035214676
0.344483,0.9635112175,0.9388887823,0.0422741821,0.0935429094
0.377931,0.9671606395,0.9473607900,0.0405049266,0.0841215741
0.411379,0.9706372133,0.9550637321,0.0385242936,0.0752361298
0.444828,0.9739255031,0.9620474626,0.0364099649,0.0668662666
0.478276,0.9770154790,0.9683531494,0.0341070114,0.0589926275
0.511724,0.9798968576,0.9740153297,0.0316176898,0.0515967426
0.545172,0.9825968407,0.9790633144,0.0289386554,0.0446609679
0.578621,0.9850410622,0.9835221677,0.0260391223,0.0381684283
0.612069,0.9873355811,0.9874134022,0.0229191032,0.0321029633
0.645517,0.9895371954,0.9907554786,0.0196629592,0.0264490779
0.678966,0.9917265499,0.9935641675,0.0163335166,0.0211918960
0.712414,0.9937108285,0.9958528086,0.0152386057,0.0163171176
0.745862,0.9955011967,0.9976324911,0.0138343675,0.0118109798
0.779310,0.9972235111,0.9989121668,0.0115332657,0.0076602202
0.812759,0.9988688884,0.9996987034,0.0080961058,0.0038520441
0.846207,0.9999837369,0.9999968786,0.0010280726,0.0003740944
0.879655,0.9988481216,0.9998093125,0.0101976825,0.0028727318
0.913103,0.9945096474,0.9991363298,0.0229974958,0.0061520274
0.946552,0.9883737260,0.9979757399,0.0393646756,0.0094688761
0.980000,0.9833010264,0.9963225137,0.0470481323,0.0128192135
