node,classical_pagerank,quantum_pagerank
0,0.0123631400,0.0107819059
1,0.0090475590,0.0062632865
2,0.0105652194,0.0162139216
3,0.0090327171,0.0090896906
4,0.0073700582,0.0069436810
5,0.0078410713,0.0096818392
6,0.0070194413,0.0086980190
7,0.0097974579,0.0111361898
8,0.0051601066,0.0061972209
9,0.0045132240,0.0051667970
10,0.0050066138,0.0048467546
11,0.0046422635,0.0036553331
12,0.0088179809,0.0066436935
13,0.0124937063,0.0091258536
14,0.0064870810,0.0094859237
15,0.0083745960,0.0095395061
16,0.0101065852,0.0138961596
17,0.0068845127,0.0087194190
18,0.0081014945,0.0087825787
19,0.0063244191,0.0049636552
20,0.0109747940,0.0085107923
21,0.0063397119,0.0100393537
22,0.0109642395,0.0090879758
23,0.0067600653,0.0052833239
24,0.0090516888,0.0062076628
25,0.0075910580,0.0062718978
26,0.0045785960,0.0056385239
27,0.0116485715,0.0071069370
28,0.0087408035,0.0090673863
29,0.0088252449,0.0107684814
30,0.0118564164,0.0136796025
31,0.0083173079,0.0069348758
32,0.0070888571,0.0049922551
33,0.0083383427,0.0069629572
34,0.0132834330,0.0166745584
35,0.0053142661,0.0039950807
36,0.0116368083,0.0118720170
37,0.0084505012,0.0059630815
38,0.0089669167,0.0067363020
39,0.0054504920,0.0036386177
40,0.0096085446,0.0072419262
41,0.0073842650,0.0086985196
42,0.0069680558,0.0056106018
43,0.0058673453,0.0147413636
44,0.0048434407,0.0053591124
45,0.0047727059,0.0053362784
46,0.0067947796,0.0056892017
47,0.0065793735,0.0068281163
48,0.0077144470,0.0060396019
49,0.0047612910,0.0049620909
50,0.0162432725,0.0169000750
51,0.0079947140,0.0063922960
52,0.0034615502,0.0032542425
53,0.0033534221,0.0028064069
54,0.0086647185,0.0059230129
55,0.0084277766,0.0074231308
56,0.0064642755,0.0088843523
57,0.0137427404,0.0147492508
58,0.0079933585,0.0065799316
59,0.0056116521,0.0052273804
60,0.0052535171,0.0044158492
61,0.0074000600,0.0052867947
62,0.0053817885,0.0040565858
63,0.0090636566,0.0128588033
64,0.0053748793,0.0062396432
65,0.0082265693,0.0089873721
66,0.0074662709,0.0110629251
67,0.0081277617,0.0125227813
68,0.0079142967,0.0081152541
69,0.0106816336,0.0080452886
70,0.0133037705,0.0079312230
71,0.0060908185,0.0052508285
72,0.0024871830,0.0025148161
73,0.0074114300,0.0073511121
74,0.0092535614,0.0223321272
75,0.0070258575,0.0048436307
76,0.0079075960,0.0148083616
77,0.0082740266,0.0073773292
78,0.0058068689,0.0083748357
79,0.0085567449,0.0072975372
80,0.0055535918,0.0061746001
81,0.0080131374,0.0053953848
82,0.0054967971,0.0044207427
83,0.0033232569,0.0056383371
84,0.0048729211,0.0045098765
85,0.0093842353,0.0127800711
86,0.0066282647,0.0048610779
87,0.0092519563,0.0061616212
88,0.0039464760,0.0072553749
89,0.0056784040,0.0050970140
90,0.0089924868,0.0069429812
91,0.0050800697,0.0055745888
92,0.0063714875,0.0054674979
93,0.0065464442,0.0070040494
94,0.0021011832,0.0026953015
95,0.0048326806,0.0037843045
96,0.0035781768,0.0038219060
97,0.0056397010,0.0039947037
98,0.0111867189,0.0123310312
99,0.0028619178,0.0030782718
100,0.0060744857,0.0052951918
101,0.0067537133,0.0049734591
102,0.0112105069,0.0075700024
103,0.0075536097,0.0056697226
104,0.0051696152,0.0060926160
105,0.0070745166,0.0057743080
106,0.0093176741,0.0063051187
107,0.0108130150,0.0168541209
108,0.0084216853,0.0074688589
109,0.0069935515,0.0150531034
110,0.0079204159,0.0096701966
111,0.0064369257,0.0082477690
112,0.0039096099,0.0039370582
113,0.0121238375,0.0088828824
114,0.0072538490,0.0050248224
115,0.0083361333,0.0083969103
116,0.0078161138,0.0065153381
117,0.0072486395,0.0057006606
118,0.0147269879,0.0165771135
119,0.0128863502,0.0096266297
120,0.0090309494,0.0120114240
121,0.0173386621,0.0097450083
122,0.0123939901,0.0095365916
123,0.0131357536,0.0096660817
124,0.0065316047,0.0086619464
125,0.0039853800,0.0035656984
126,0.0053488721,0.0063917918
127,0.0124662622,0.0122137364
