n,node,classical_pagerank,quantum_pagerank
2,0,0.0276081597,0.0747517258
2,1,0.0213600538,0.0500830786
2,2,0.0257446895,0.0610342761
2,3,0.0869625738,0.1316409407
2,4,0.0583191477,0.0908952571
2,5,0.0771794352,0.1232999364
2,6,0.2463899750,0.1771417407
2,7,0.2351761683,0.1578271239
2,8,0.2212597969,0.1333259207
3,0,0.0090749487,0.0303711597
3,1,0.0064126340,0.0158052956
3,2,0.0082809250,0.0207331508
3,3,0.0235881618,0.0404238871
3,4,0.0130959466,0.0236950286
3,5,0.0202065033,0.0371600187
3,6,0.0353995185,0.0484813894
3,7,0.0233257204,0.0335324591
3,8,0.0262394964,0.0346926498
3,9,0.0100339721,0.0323164018
3,10,0.0069770349,0.0175373919
3,11,0.0085207954,0.0211287619
3,12,0.0298372952,0.0459523443
3,13,0.0196578854,0.0303751347
3,14,0.0258860962,0.0396063158
3,15,0.1212554198,0.0717295620
3,16,0.1115879022,0.0537791746
3,17,0.1018267518,0.0416947803
3,18,0.0115534602,0.0375262199
3,19,0.0075196438,0.0188777202
3,20,0.0087514042,0.0216074702
3,21,0.0397143551,0.0539774476
3,22,0.0243982447,0.0332829387
3,23,0.0300134103,0.0409556452
3,24,0.0983995074,0.0622127773
3,25,0.0923909854,0.0504257996
3,26,0.0860519814,0.0421190751
4,0,0.0030089152,0.0117331592
4,1,0.0020485886,0.0058501479
4,2,0.0027225020,0.0078407738
4,3,0.0076528802,0.0130629408
4,4,0.0042169047,0.0079414247
4,5,0.0065932842,0.0129440600
4,6,0.0114371248,0.0152603880
4,7,0.0075832801,0.0113262479
4,8,0.0084943767,0.0115362971
4,9,0.0032412059,0.0109876975
4,10,0.0022454269,0.0061122744
4,11,0.0028061583,0.0076061427
4,12,0.0096001202,0.0143140625
4,13,0.0063254779,0.0097658525
4,14,0.0084211253,0.0132875866
4,15,0.0391896810,0.0214391484
4,16,0.0361173871,0.0163520941
4,17,0.0329452059,0.0130302745
4,18,0.0036572757,0.0123739715
4,19,0.0023699659,0.0064016533
4,20,0.0028590874,0.0076776793
4,21,0.0127825406,0.0165953733
4,22,0.0078025457,0.0104149462
4,23,0.0096991278,0.0135609949
4,24,0.0313040339,0.0184908661
4,25,0.0294675162,0.0155251786
4,26,0.0274173547,0.0130870557
4,27,0.0032195465,0.0120304809
4,28,0.0021255133,0.0059080991
4,29,0.0027551950,0.0076987852
4,30,0.0078343395,0.0133424115
4,31,0.0043452428,0.0082065492
4,32,0.0067162661,0.0129955242
4,33,0.0117507820,0.0156276678
4,34,0.0077492774,0.0113384943
4,35,0.0087123991,0.0117880202
4,36,0.0035342132,0.0121164771
4,37,0.0023525321,0.0064118160
4,38,0.0028516780,0.0077002426
4,39,0.0100011050,0.0149313122
4,40,0.0066030017,0.0101659561
4,41,0.0086763664,0.0134487071
4,42,0.0405755066,0.0220293518
4,43,0.0373408586,0.0165641021
4,44,0.0340922619,0.0133633606
4,45,0.0044009727,0.0146020186
4,46,0.0026000172,0.0068811167
4,47,0.0029568592,0.0078103791
4,48,0.0134795687,0.0172321124
4,49,0.0083288339,0.0109912659
4,50,0.0101880258,0.0137719891
4,51,0.0335570865,0.0195239488
4,52,0.0314803827,0.0159224887
4,53,0.0293583425,0.0136732868
4,54,0.0035035449,0.0132035800
4,55,0.0021827422,0.0060944364
4,56,0.0027795173,0.0077702739
4,57,0.0079693381,0.0135543132
4,58,0.0044407213,0.0084013932
4,59,0.0068077598,0.0130865474
4,60,0.0119841305,0.0159068445
4,61,0.0078727728,0.0114302946
4,62,0.0088745990,0.0119953789
4,63,0.0037949523,0.0128551181
4,64,0.0023894701,0.0064672165
4,65,0.0028673766,0.0077246727
4,66,0.0101836983,0.0151977066
4,67,0.0067175419,0.0102620596
4,68,0.0087803975,0.0134984296
4,69,0.0412401077,0.0222037344
4,70,0.0379214682,0.0166244080
4,71,0.0346227180,0.0134351071
4,72,0.0041665646,0.0139791317
4,73,0.0025601678,0.0068319572
4,74,0.0029399232,0.0077911415
4,75,0.0134268812,0.0171974638
4,76,0.0082665924,0.0109324788
4,77,0.0101279227,0.0137455543
4,78,0.0334246060,0.0196303134
4,79,0.0313508383,0.0159531314
4,80,0.0292083804,0.0136330577
