node,classical_pagerank,quantum_pagerank
0,0.0802291936,0.0599110135
1,0.0401135826,0.0272333814
2,0.2353375145,0.2038506927
3,0.0024940540,0.0031788141
4,0.0694239471,0.0908408714
5,0.0502284159,0.0396492837
6,0.0321307251,0.0302720806
7,0.0024940540,0.0020035252
8,0.0046139999,0.0063417442
9,0.0646973611,0.0475262449
10,0.0024940540,0.0020936066
11,0.0350304087,0.0318588346
12,0.0046139999,0.0083393940
13,0.0024940540,0.0021502120
14,0.0024940540,0.0032350118
15,0.0024940540,0.0025764074
16,0.0024940540,0.0020936066
17,0.0024940540,0.0026497444
18,0.0024940540,0.0044921724
19,0.0406811736,0.0330175962
20,0.0024940540,0.0020936066
21,0.0024940540,0.0020936066
22,0.0024940540,0.0020936066
23,0.0024940540,0.0021517680
24,0.0024940540,0.0031313831
25,0.0024940540,0.0042847292
26,0.0024940540,0.0020936066
27,0.0024940540,0.0028585735
28,0.0024940540,0.0027696046
29,0.0024940540,0.0020103427
30,0.0024940540,0.0020936066
31,0.0024940540,0.0021517680
32,0.0024940540,0.0023859605
33,0.0024940540,0.0020103427
34,0.0024940540,0.0022805465
35,0.0024940540,0.0020936066
36,0.0024940540,0.0020936066
37,0.0024940540,0.0020936066
38,0.0024940540,0.0021502120
39,0.0024940540,0.0020936066
40,0.0024940540,0.0042847292
41,0.0046139999,0.0097437476
42,0.0024940540,0.0020936066
43,0.0024940540,0.0020936066
44,0.0024940540,0.0020936066
45,0.0024940540,0.0020936066
46,0.0024940540,0.0020936066
47,0.0024940540,0.0020936066
48,0.0024940540,0.0027696046
49,0.0024940540,0.0020936066
50,0.0024940540,0.0021316428
51,0.0073169309,0.0099688342
52,0.0024940540,0.0028611011
53,0.0056739729,0.0116862394
54,0.0024940540,0.0028611011
55,0.0024940540,0.0023859605
56,0.0024940540,0.0028611011
57,0.0024940540,0.0020936066
58,0.0024940540,0.0021517680
59,0.0070872701,0.0088111705
60,0.0030240405,0.0029619035
61,0.0024940540,0.0026736424
62,0.0024940540,0.0020936066
63,0.0024940540,0.0020936066
64,0.0024940540,0.0021502120
65,0.0024940540,0.0046028388
66,0.0024940540,0.0020936066
67,0.0024940540,0.0021517680
68,0.0024940540,0.0020936066
69,0.0024940540,0.0020936066
70,0.0024940540,0.0020936066
71,0.0024940540,0.0035462362
72,0.0024940540,0.0020936066
73,0.0081768115,0.0103160961
74,0.0024940540,0.0042847292
75,0.0024940540,0.0042847292
76,0.0024940540,0.0027522383
77,0.0024940540,0.0028611011
78,0.0024940540,0.0027696046
79,0.0024940540,0.0020936066
80,0.0024940540,0.0021502120
81,0.0310707522,0.0396395583
82,0.0024940540,0.0066408939
83,0.0024940540,0.0020936066
84,0.0024940540,0.0021502120
85,0.0024940540,0.0059245692
86,0.0024940540,0.0044921724
87,0.0024940540,0.0134116586
88,0.0024940540,0.0020936066
89,0.0024940540,0.0020158545
90,0.0024940540,0.0020936066
91,0.0024940540,0.0020936066
92,0.0024940540,0.0020936066
93,0.0024940540,0.0031298012
94,0.0024940540,0.0042847292
95,0.0024940540,0.0020936066
96,0.0024940540,0.0021502120
97,0.0024940540,0.0020936066
98,0.0024940540,0.0023859605
99,0.0024940540,0.0020936066
100,0.0024940540,0.0032385702
101,0.0024940540,0.0035462362
102,0.0024940540,0.0044921724
103,0.0024940540,0.0020936066
104,0.0030240405,0.0108402514
105,0.0024940540,0.0042847292
106,0.0024940540,0.0021502120
107,0.0024940540,0.0020936066
108,0.0024940540,0.0020936066
109,0.0024940540,0.0020936066
110,0.0024940540,0.0020936066
111,0.0024940540,0.0021502120
112,0.0024940540,0.0037476943
113,0.0024940540,0.0021502120
114,0.0024940540,0.0042847292
115,0.0024940540,0.0020936066
116,0.0024940540,0.0021502120
117,0.0024940540,0.0020936066
118,0.0024940540,0.0020936066
119,0.0024940540,0.0043404151
120,0.0024940540,0.0020936066
121,0.0024940540,0.0020936066
122,0.0024940540,0.0020936066
123,0.0024940540,0.0020936066
124,0.0024940540,0.0022083678
125,0.0024940540,0.0020936066
126,0.0024940540,0.0020936066
127,0.0035540270,0.0242690757
