node,original_id,lat,lon,degree,betweenness,community_id,adap_degree_frac,betweenness_frac,random_frac,seamless_mavg,adap_betweenness_frac,regression_residual
1,1G4,35.98611111,-113.81691666,2,0.0,3,0.7192622950819673,0.9200819672131147,0.4825614754098361,0.7387182377049178,0.7956967213114755,0.009448416707989127
2,ABE,40.65236277,-75.44040583,93,0.0019372127503697,1,0.2664344262295082,0.2479508196721311,0.4916803278688524,0.258608606557377,0.3135245901639344,-0.06068986831014661
3,ABI,32.41133333,-99.68188888,56,0.0008113878179915,2,0.238811475409836,0.3360655737704918,0.4934426229508197,0.2520122950819672,0.2643442622950819,-0.2457703237446755
4,ABQ,35.03893155,-106.60826216,105,0.0054845268565508,3,0.2057377049180328,0.1168032786885246,0.5111475409836066,0.2016659836065573,0.1536885245901639,-0.04388602404930886
5,ABR,45.44679805,-98.42244083,7,3.0327792508332094e-05,4,0.5703893442622952,0.7008196721311476,0.5091803278688525,0.5702090163934427,0.5824180327868853,-0.12372738447701159
6,ABY,31.53553,-84.19448333,27,2.5347848775188893e-05,1,0.8117008196721313,0.7254098360655739,0.5252868852459016,0.7989774590163934,0.8092008196721312,0.15685974031405114
7,ACK,41.25329916,-70.06051138,57,0.0015635753480928,1,0.2623360655737705,0.2766393442622951,0.4690983606557377,0.2806803278688524,0.2827868852459017,-0.2200734140932566
8,ACT,31.61219444,-97.23030555,84,0.0015173372647673,2,0.1969877049180327,0.2807377049180328,0.4552049180327869,0.1986321721311475,0.2315573770491803,-0.16135276974878335
9,ACV,40.97782638,-124.10846916,24,0.0001898033234568,3,0.5044262295081967,0.5184426229508197,0.5266598360655738,0.5286659836065575,0.6029303278688525,-0.08940519951091674
10,ACY,39.45757583,-74.57715527,114,0.0028637815473519,1,0.1678893442622951,0.1926229508196721,0.5046516393442624,0.1767858606557377,0.2868852459016394,-0.042352164011252025
11,ADK,51.88358277,-176.64248222,3,0.0,0,0.8081557377049181,0.9221311475409836,0.4959221311475409,0.795797131147541,0.7935245901639345,0.12840076539174572
12,ADQ,57.74979388,-152.49394361,10,5.1539540980801574e-05,0,0.4039959016393443,0.6618852459016393,0.5463524590163935,0.4270809426229508,0.5,-0.2048629747626146
13,AEX,31.32737166,-92.54855583,112,0.0032118747934386,2,0.1638934426229508,0.1782786885245901,0.4837295081967213,0.1500891393442622,0.180327868852459,-0.08003409951442289
14,AFW,32.99030666,-97.31942944,121,0.0045139170314812,3,0.1343852459016393,0.1352459016393442,0.4889344262295082,0.1163514344262295,0.1352459016393442,-0.03942906671723692
15,AGS,33.36994444,-81.9645,72,0.0007497505254275,1,0.3083196721311476,0.3442622950819672,0.4976434426229508,0.3084395491803279,0.3954918032786885,-0.10892503196478209
16,AHN,33.94864027,-83.32591416,24,8.061973842289402e-05,2,0.416905737704918,0.6209016393442623,0.4798360655737705,0.5746506147540983,0.4651639344262295,-0.08122541099702663
17,AIA,42.05322222,-102.80375,2,6.100071581317123e-06,4,0.8449180327868853,0.8381147540983607,0.4974180327868853,0.8205850409836064,0.7840573770491803,0.10122442563103351
18,AKN,58.67649347,-156.648691,11,0.0002836312407179,0,0.4023770491803279,0.4651639344262295,0.4870696721311475,0.5009211065573771,0.5061475409836066,-0.12776220554715523
19,ALB,42.74911611,-73.80198,103,0.0017381832169533,1,0.2192622950819672,0.2622950819672131,0.4798360655737705,0.2455297131147541,0.2725409836065574,-0.02093362634662857
20,ALO,42.55844916,-92.40102333,20,9.094808451763348e-05,4,0.5976639344262296,0.6045081967213115,0.5318852459016393,0.5847069672131149,0.5132786885245901,-0.04310743632124148
21,ALS,37.435125,-105.86787527,1,0.0,3,0.8450614754098361,0.9241803278688524,0.5152459016393443,0.8136536885245901,0.8103688524590164,0.07926012661798576
22,ALW,46.09254166,-118.2840825,6,2.913847155313007e-07,3,0.799016393442623,0.903688524590164,0.476516393442623,0.8055522540983608,0.8187704918032788,0.09677505762483685
23,AMA,35.21936111,-101.70591666,84,0.0023184007712815,3,0.2783811475409836,0.2233606557377049,0.5398770491803279,0.2775071721311476,0.25,-0.05022705134237726
24,ANC,61.17408472,-149.9981375,87,0.0538997030640455,0,0.2040368852459016,0.0040983606557377,0.5245901639344263,0.1868288934426229,0.0040983606557377,-0.4828576329108468
25,AOO,40.29636111,-78.32002777,13,6.217756962916553e-05,1,0.782110655737705,0.6454918032786886,0.5159836065573771,0.7593155737704917,0.8084631147540984,0.04516982865273078
26,APF,26.1524408,-81.77563919,32,0.0007853751431788,1,0.3531147540983607,0.3401639344262295,0.4642622950819672,0.3311475409836065,0.2213114754098361,-0.2914526561620296
27,APN,45.07808333,-83.56030555,3,2.2237254606336105e-07,4,0.8134426229508197,0.9077868852459016,0.5584426229508197,0.8208073770491804,0.8107581967213114,0.10661768632935198
28,ARA,30.03775833,-91.88389611,7,4.813162247425207e-07,2,0.8309221311475411,0.9016393442622952,0.4938524590163934,0.8252643442622951,0.800389344262295,0.08292804096710282
29,ART,43.99183333,-76.01941666,3,0.0,1,0.8254508196721312,0.9262295081967212,0.4786475409836066,0.8224364754098362,0.7980327868852459,0.057552456861997836
30,ASE,39.22187833,-106.86823333,52,0.000822457521669,3,0.3681762295081967,0.3319672131147541,0.5038934426229509,0.378797131147541,0.3627049180327869,-0.10088799125437586
31,ATL,33.63669961,-84.427864,220,0.0163694097930087,2,0.0081967213114754,0.0286885245901639,0.5248155737704918,0.0085051229508196,0.0471311475409836,0.2261226841411002
32,ATW,44.25809305,-88.51907222,60,0.0008652355107739,4,0.414405737704918,0.3237704918032787,0.4967213114754099,0.4027459016393442,0.2377049180327869,-0.026334522906780566
33,ATY,44.91397222,-97.15472222,3,0.0,4,0.8437704918032787,0.9282786885245902,0.5151434426229509,0.8235584016393442,0.8194057377049181,0.10937049603382132
34,AUS,30.19452722,-97.66987611,176,0.0080581784582166,2,0.0460245901639344,0.0819672131147541,0.511577868852459,0.0543043032786885,0.0922131147540983,0.11319637260300108
35,AVL,35.43611305,-82.5420475,79,0.0006523917499239,1,0.3445081967213115,0.360655737704918,0.5236475409836066,0.3439938524590164,0.444672131147541,-0.0367229865642939
36,AVP,41.33847222,-75.72338888,46,0.0002725862416982,1,0.4250819672131147,0.4754098360655738,0.5053278688524591,0.3943586065573771,0.389344262295082,-0.15239276184251405
37,AZO,42.23438888,-85.55155555,18,2.475449595590232e-05,4,0.6913934426229508,0.7295081967213115,0.5167827868852459,0.7418084016393443,0.8079918032786886,0.1042778908818709
38,BAF,42.15794444,-72.71586111,19,6.333160624595777e-05,1,0.823360655737705,0.6434426229508197,0.5293852459016393,0.720970286885246,0.7895491803278689,0.03755772309959127
39,BDL,41.93903222,-72.68431583,132,0.0026608561220758,1,0.1318647540983606,0.2028688524590164,0.515594262295082,0.1698821721311475,0.2192622950819672,0.044600484747084196
40,BDR,41.16348083,-73.12617583,15,3.527763837656486e-05,1,0.7919467213114755,0.6885245901639344,0.4728483606557377,0.7521178278688525,0.7906352459016394,0.048435506029708475
41,BED,42.46994444,-71.289,104,0.0049509998389278,1,0.1800819672131147,0.1270491803278688,0.482172131147541,0.1764754098360656,0.2008196721311475,-0.11065534420924902
42,BET,60.77855555,-161.83716666,9,2.7181337547144833e-05,0,0.6464959016393443,0.7192622950819673,0.5120491803278688,0.7090963114754099,0.8041598360655738,0.0722241907057175
43,BFD,41.80295433,-78.63996597,8,3.168141818783992e-05,1,0.8297131147540984,0.6987704918032788,0.5052459016393442,0.8271946721311476,0.8029918032786886,0.08767503288412903
