node,original_id,lat,lon,degree,betweenness,community_id,adap_degree_frac,betweenness_frac,random_frac,seamless_mavg,adap_betweenness_frac,regression_residual
1,0,42.54359,-70.9285537,4,6.124370902975214e-05,19,0.0612705967490536,0.3479876419505678,0.53311790247161,0.0928440700846136,0.3208494767312402,-0.24369381351680253
2,1,36.3769931,-82.961231,14,0.0024787156696483,23,0.0008777276775773,0.0171314851926074,0.5347770541082165,0.0147822241705633,0.0569693553774215,0.7116342128383016
3,2,43.0894616,-75.3340663,3,5.563208812242564e-05,45,0.73625208750835,0.3983383433533734,0.5074944333110666,0.6871531744043643,0.385853095079047,0.24655925134301032
4,3,30.0090511,-89.9372786,9,0.0009679448160313,21,0.0078124304163883,0.0349588065018926,0.5079268258739701,0.0226488463037185,0.0836872355822756,0.2037244674148573
5,4,41.6125604,-90.5660876,2,1.19076459271618e-05,17,0.5763134602538411,0.6026497439323091,0.5006492150968604,0.5502470496548652,0.4993267089735026,0.0058902866110166485
6,5,33.8550898,-86.8321447,2,5.566688931266052e-05,52,0.7204500668002672,0.3864673792028502,0.4988680138053886,0.6196197951458473,0.5452479959919839,0.07500289101269098
7,6,42.3948735,-71.0248561,2,4.1934507836307866e-05,53,0.4234076486305945,0.432643063905589,0.5502271209084837,0.4050704742818971,0.4865942997105322,-0.1397759855471276
8,7,43.089016,-75.3341,6,0.0001950194729952,45,0.0301361055444221,0.1440937430416388,0.4891880984190603,0.0495630636272545,0.1953071420619015,-0.07927768766316214
9,8,41.8109526,-90.5358508,2,0.0003015200724271,17,0.5770428356713426,0.0976536406145624,0.5384822422623025,0.5720767715987531,0.6519445836116677,0.026869954750656677
10,9,41.4084195,-81.7856982,3,9.69634708022301e-06,16,0.5832562346916055,0.6077015141393899,0.4819618403473614,0.5640586659429971,0.5832224170563349,0.12367110765850309
11,10,31.5894833,-90.0672034,3,2.7833832022823745e-05,67,0.4338407370296148,0.5142785571142284,0.5110195390781563,0.419305242429303,0.4597859608105099,-0.02118091708723374
12,11,39.1332954,-94.4820592,2,0.0002435961288761,2,0.7656500501002005,0.1193915608995769,0.4713233411266979,0.7278149423847695,0.7066111389445558,0.18261025099249872
13,12,34.2735812,-80.5960298,3,3.2009188023094013e-05,70,0.3546149242930305,0.4649855266087731,0.4947951458472501,0.3561833806501892,0.3827452126475172,-0.08427402358396358
14,13,32.3396908,-90.2475867,1,0.0,66,0.6311916889334225,0.6904225116900468,0.4661716488532621,0.6615131234691605,0.7183558784235137,0.01309779339214967
15,14,38.3120875,-83.1304033,1,0.0,13,0.7514296648853263,0.6904364284123804,0.5250192050768203,0.730745616232465,0.7134564963259853,0.08230583785094736
16,15,41.5942834,-83.5553031,3,0.0001673415632166,16,0.6211024827432644,0.1657899131596526,0.5092994321977288,0.565146904920953,0.2847149855266088,0.12429663542852581
17,16,36.5869318,-90.1790181,5,0.0005965827631387,73,0.1719089568024938,0.0523547094188376,0.5530023936762414,0.2728162923068359,0.3375537185482075,0.03877063539969977
18,17,44.4031851,-103.846084,3,0.0001297947692705,1,0.2444305277221108,0.2120073480293921,0.5095976675573369,0.2805676074370964,0.3561104152749944,-0.16010754293496848
19,18,33.308773,-86.8444716,3,0.0002142765080405,52,0.7179779002449342,0.1342407036294811,0.4595312847918059,0.6703709711088846,0.6048103150745937,0.22934262298802566
20,19,34.9608075,-79.7256915,3,0.0003023766332636,56,0.7155600089067023,0.0974031396125584,0.5561592629703852,0.6641184173903362,0.6674720273881096,0.2228010651042358
21,20,34.8289526,-82.2890305,1,0.0,65,0.724013721888221,0.6904503451347139,0.4973598586061011,0.7265511717880205,0.7073207526163438,0.07821523331902303
22,21,39.0092459,-94.2551417,4,0.0001430261213958,2,0.0605711422845691,0.190728679581385,0.5430694722778892,0.0853037881318191,0.1326206579826319,-0.2514975201765526
23,22,37.9263912,-100.9718929,7,0.0258270247563629,11,0.0166661099977733,0.0038131819193943,0.542565547762191,0.0412024256847027,0.0434154419951013,-0.058830351907312145
24,23,32.5254319,-93.5158252,2,3.412083940147052e-07,83,0.6873196392785571,0.6394873079492318,0.4664505399688265,0.6641588524270764,0.5872508906702294,0.11956997483181442
25,24,44.898833,-97.656058,3,4.293576927405242e-05,72,0.3903925907370296,0.4298736361612113,0.4876498830995324,0.3692764208973502,0.3112423458027166,-0.07135793071244106
26,25,31.2680331,-88.0067254,1,0.0,22,0.7507130928523714,0.6904642618570475,0.465350005566689,0.7212895861166778,0.7290084335337341,0.07274058275230244
27,26,31.2630965,-88.0091085,7,0.0019205400079681,22,0.016837703184146,0.020749832999332,0.4811722055221554,0.0439469077042974,0.1283878868848809,0.01408543260063179
28,27,35.0328963,-81.4896659,3,5.054685635665484e-05,65,0.4693080605655756,0.4129230683589401,0.5222950066800267,0.4762269956579826,0.4184091794700512,0.035850890710653505
29,28,44.976619,-97.105867,3,2.850382372668188e-05,72,0.327356518592741,0.4785125807169895,0.485351258071699,0.3140310342908038,0.3733313849922066,-0.1265609574991292
30,29,31.8547967,-85.1503686,1,0.0,60,0.725351675573369,0.690478178579381,0.53249373747495,0.7216616914384325,0.7320090180360721,0.07312124297465816
31,30,43.9316499,-70.2036873,10,0.0051267819223111,19,0.0051251113337786,0.0106741260298374,0.4470532732130928,0.0219814142173235,0.0523279893119572,0.2949000403008995
32,31,34.5571147,-90.6623338,3,0.0001372634899853,62,0.2719120184814072,0.2049794032509463,0.4692156535292808,0.2818127435426408,0.2110270541082164,-0.15891613076788402
33,32,39.6098241,-80.3629292,3,0.0001113318417928,50,0.3513762246715654,0.2346220218214206,0.5374014696058784,0.3481541416165664,0.5712600200400801,-0.09247064610642974
34,33,31.263793,-88.005318,2,2.7833832022823735e-05,22,0.5960532175462036,0.5142924738365621,0.4607238087285682,0.5713719313627255,0.6741161489645959,0.02679532960848885
35,34,33.5970257,-80.2734136,3,3.118780471639474e-05,70,0.4574681307058562,0.4671287018481407,0.4953391505232687,0.4313039203406815,0.535103679581385,-0.009151073016241129
36,35,28.4709575,-81.4409865,6,0.0001360709844392,3,0.0366947784457804,0.2060649075929637,0.4554673235359608,0.0550760340124693,0.1281240258294366,-0.07362015465034935
37,36,44.8825709,-97.045002,8,0.0085952687326033,72,0.0115006401692273,0.0076263638387886,0.4989207581830327,0.0404204241816967,0.023110109107103,0.09495424416290599
38,37,34.8856718,-83.9735979,4,0.0001084611045033,63,0.0597936150077933,0.2503896682253396,0.4991072422623024,0.1047688780338454,0.1212467991538632,-0.23190899741694299
39,38,35.8994766,-89.7830049,5,0.000176110806345,73,0.0606138666221331,0.1599448897795591,0.4722859608105099,0.0870162477733244,0.2186296203518147,-0.14579526393233797
40,39,43.063329,-75.381847,3,5.5667276679154e-05,45,0.1542038243152972,0.36729013582721,0.4518068080605655,0.166436790247161,0.3329930694722779,-0.274157236097629
41,40,43.1239924,-75.3444945,3,8.332101002924161e-05,45,0.1561635771543086,0.3067523936762414,0.4737561233578268,0.2108901483522601,0.236316800267201,-0.22978504564655627
42,41,44.9061343,-97.7390294,3,6.270808418733687e-05,72,0.2502026274771766,0.3452042974838566,0.4728611389445558,0.2873642284569137,0.0925897628590514,-0.15332815771898356
43,42,40.5171576,-79.1932501,9,0.0919534587630326,79,0.0103063070585615,0.0010576708973502,0.5183217824537965,0.0330132417613003,0.0046557002894678,-0.05304835612557457
44,43,31.0192208,-86.309691,3,0.0001031362297246,26,0.4918318581607659,0.2564016922734358,0.5060313682921398,0.4603339108773103,0.3278284346470719,0.019455301043771023
45,44,37.371239,-85.337198,3,8.03449667496292e-05,43,0.648992568470274,0.3128896682253396,0.5099301380538855,0.550268272656424,0.3242774437764417,0.10954477938681562
46,45,33.1575742,-86.2962056,1,0.0,52,0.7431791360498775,0.6904920953017145,0.4802207192162102,0.7215377282342462,0.7166477399242931,0.07303011648633317
47,46,44.8944375,-98.3016684,2,8.382907090889503e-05,72,0.5844191160097973,0.2861417279002449,0.4879742818971275,0.5560215013360054,0.4668015197060788,0.011213024170294572
