# US Power Grid — SEAMLESS input edge list
# generated: 2026-09-02
# N=71856 E=87692
1 17704
1 26314
1 35269
1 66551
2 2277
2 2278
2 3338
2 4873
2 12506
2 13028
2 14518
2 15371
2 23690
2 25619
2 25627
2 38242
2 57305
2 66363
3 8
3 41
3 13823
4 692
4 11767
4 13966
4 14930
4 19512
4 23408
4 57060
4 59828
4 66587
5 20750
5 28668
6 11728
6 19158
7 5173
7 53801
8 1734
8 19215
8 57702
8 62371
8 62821
9 9030
9 18891
10 1365
10 2158
10 53802
11 28131
11 38409
11 53803
12 3059
12 5053
13 13536
13 33087
13 53804
14 18570
15 731
16 135
16 11171
16 11219
17 2000
17 2811
17 6796
17 10916
17 55097
18 3652
18 20497
18 53805
19 119
19 2084
19 38601
20 4145
20 16106
20 53806
21 550
22 14853
22 17427
22 17883
22 24976
23 944
23 2265
23 6930
23 9550
23 14073
23 26066
23 26444
24 12967
24 17096
25 42
25 29910
25 53807
26 27
27 34
27 5921
27 6884
27 20068
27 22702
27 58189
28 12185
28 28983
28 53808
29 29900
29 30580
29 63891
30 8070
31 388
31 1153
31 2764
31 6158
31 6430
31 14828
31 16754
31 18462
31 24406
31 60100
32 1713
32 6742
32 29061
33 5176
33 15827
33 62535
34 53809
35 2558
35 24752
35 53810
36 10005
36 15429
36 17791
36 19763
36 62634
36 63280
37 188
37 9489
37 10036
37 17286
37 26202
37 33924
37 34788
37 53811
38 125
38 21081
38 36236
38 53812
39 5713
39 5763
39 7209
39 11037
39 21684
40 19215
40 19748
40 53813
41 5973
41 15494
42 47
42 19432
43 7679
43 13036
43 13653
43 18726
43 19687
43 20491
43 32701
43 55149
43 66563
44 22294
44 26619
44 31491
45 6353
45 26132
45 26448
46 8618
47 19379
48 103
49 8618
49 20401
49 34632
50 21611
50 24300
51 1521
51 15748
51 20771
52 17363
52 20454
52 29832
53 3310
53 4244
53 27027
54 5596
54 53814
55 875
55 6175
56 2801
56 3039
56 5780
56 8195
56 26225
56 37947
56 54959
57 9538
57 10983
57 36033
58 78
58 339
58 1068
58 16913
58 24417
59 38049
60 12420
60 14369
60 26627
61 1081
61 3118
61 4973
61 13329
61 37944
61 55219
62 26055
63 26111
63 36997
63 61530
64 6259
64 18037
64 54252
65 34746
65 38023
66 1003
66 2547
66 2714
66 2856
66 2930
66 5734
66 5743
66 17642
66 32175
67 16252
68 1068
68 22012
69 483
69 811
70 5332
70 17644
70 53815
71 2466
71 4232
71 4635
71 6293
71 6628
71 11966
71 19030
71 20110
71 25686
71 27290
71 58844
72 17667
72 19228
72 19851
72 24381
73 11302
73 25534
74 7880
74 26051
74 53816
75 18632
76 7546
76 7548
76 15682
76 19177
76 19606
76 24674
76 28495
76 55069
77 3565
77 22703
77 53817
78 83
78 157
79 12799
79 22674
79 32921
80 2437
80 6195
81 8299
81 9908
81 12135
81 20006
81 27839
81 28657
81 57177
82 2890
82 20100
82 20370
82 23143
82 25765
82 35747
82 54723
83 1068
84 1074
84 2529
84 12186
84 13741
84 16810
84 20875
84 38190
85 4880
85 16253
85 30223
85 30226
85 30228
85 30776
85 36656
86 786
86 18415
87 12895
87 15420
87 17770
87 27863
87 53915
88 22787
88 25055
88 37688
89 4022
89 8260
89 22036
89 27307
90 26443
90 53818
90 61535
91 1320
91 19653
91 24797
91 32260
91 33453
91 33466
91 33479
91 38266
92 34658
93 372
93 38196
94 1714
94 5216
94 57674
95 1218
95 16333
95 24492
96 36973
96 53819
96 66802
97 7427
97 25696
97 28734
97 31582
98 15373
98 53820
99 1243
99 26869
100 5352
100 27875
100 53821
101 1333
101 1454
101 5441
101 5509
101 6598
101 13641
101 14118
101 15191
101 17315
102 926
102 2907
102 6334
102 10908
102 28722
102 29051
102 31104
102 31105
102 31228
102 57899
103 12765
103 27562
104 2921
104 11237
104 11304
104 11326
105 18720
105 37870
106 4267
106 25899
106 27701
107 3799
107 20801
108 7586
109 1724
109 24464
109 33981
110 8141
110 8143
110 20586
111 24055
112 113
113 15321
113 31418
114 17601
114 17743
114 27677
114 34593
114 55926
115 2963
115 28864
115 53822
116 27192
116 30346
116 53823
117 630
117 16427
117 17228
117 22129
117 55012
118 763
118 18571
118 54270
119 11966
119 14037
119 14112
119 14882
119 24744
119 53824
119 55364
120 28572
120 65693
121 4024
121 11343
121 11350
121 11354
121 11357
121 11365
121 18541
122 3369
122 22243
122 53825
122 54681
123 5091
123 18785
123 55167
124 5222
124 8092
124 10700
124 13792
124 15524
124 19500
124 23742
124 53826
124 58332
125 2954
125 26163
126 21908
126 53827
127 19532
127 22456
127 55875
128 2669
128 3492
128 4406
128 4705
128 4922
128 11346
128 12083
128 13685
128 14366
128 15477
128 16668
128 17024
128 18377
128 19386
128 20516
128 23306
128 25405
128 29487
129 6492
129 19842
129 60737
130 779
130 26532
131 8029
131 18540
131 19198
132 14736
132 15773
132 53828
133 3840
133 10601
133 18397
134 507
134 2612
134 5200
134 13419
134 14455
134 24068
134 26089
134 27331
134 38209
135 6439
135 8974
135 19531
135 27627
136 27952
136 53829
137 1127
137 17932
138 16178
138 18794
138 19357
138 21597
139 25787
139 32799
139 36496
139 36795
139 53830
140 7546
140 15918
140 19606
141 6053
141 53831
142 20169
142 53832
142 61121
143 5737
143 13348
143 53833
144 12054
144 12067
144 57165
145 12940
145 53834
145 61650
146 1718
146 2190
146 12939
146 13864
146 18607
146 20431
146 21420
147 233
147 7620
147 53835
148 4406
148 4592
148 7485
148 24010
148 34500
149 1480
149 24663
149 54637
150 14984
150 25404
150 58978
151 15041
151 24743
151 53836
152 1503
152 2381
152 19514
153 10613
153 12866
153 31229
153 56704
154 3416
154 16761
154 21235
154 28280
155 5325
155 14290
155 21096
155 36652
156 14939
156 53837
157 1068
157 4221
158 28870
158 53838
158 59235
159 2894
159 14534
159 53839
160 9115
160 19335
161 709
161 2566
161 13738
161 20336
161 24818
161 53840
162 4470
162 7059
162 10405
162 14890
162 20506
162 22402
162 25909
162 27431
162 35784
162 53820
163 2813
163 15197
164 13603
164 19967
164 22855
164 38334
165 1180
165 21072
165 62344
166 5203
166 22137
166 29317
167 14610
167 17405
168 6108
168 6504
168 21475
168 26523
169 7448
169 25951
169 61964
170 3328
170 15159
170 19004
170 22183
171 6689
171 13492
171 14372
171 15669
171 27038
171 55602
172 8514
172 25489
172 58065
173 22809
174 249
175 17321
175 28793
176 13604
176 22672
176 29385
177 911
177 2145
177 2672
177 3860
177 5078
177 8255
177 20995
177 25782
177 57894
178 7214
178 8332
178 11954
178 14546
178 20766
178 54208
179 317
179 5505
179 57756
180 3648
180 17321
180 32663
180 35820
181 1544
181 24158
181 53841
182 3519
182 9170
182 10090
182 11432
182 14227
182 14765
182 15879
182 28013
182 53842
182 60354
183 2862
183 25698
184 3449
184 16535
185 486
185 53843
186 522
186 639
186 6638
186 6662
186 9025
186 10015
186 14226
186 16849
186 18666
186 20835
186 24501
186 27835
186 59087
186 62020
187 328
187 4535
187 16333
187 18156
187 18744
187 19345
187 24374
187 24492
187 30305
188 1106
189 11050
190 3042
190 12157
190 14768
190 27820
190 60366
191 3650
191 20202
191 20598
191 26043
191 28721
191 57979
191 58016
192 5577
192 53844
193 644
193 1223
193 1901
193 2403
193 2792
193 3632
193 5765
193 11453
193 27095
193 59102
194 9877
194 18448
194 25082
195 18137
195 27736
196 1966
196 9113
196 9128
196 9131
196 9132
196 15740
196 16882
197 14791
197 53845
197 59991
198 9488
198 17316
198 54079
199 14192
199 29110
200 1282
200 2815
200 5231
200 6974
200 7161
200 8216
200 8220
200 10020
200 17801
200 19141
200 21051
200 28779
200 38616
200 55668
201 11478
201 17573
201 27063
201 30352
201 35018
202 13700
202 19348
202 32134
202 53846
203 13489
203 14248
203 17084
203 20301
203 22099
203 23118
203 23607
203 33633
203 33634
204 3785
204 24524
204 25817
204 32840
205 20727
205 27430
205 27471
205 28783
205 35783
205 54125
205 54727
206 2374
206 6032
206 16560
206 19673
206 21763
206 54826
206 57619
206 57870
207 11515
207 11533
207 27044
207 27381
207 56970
208 804
208 3503
208 10351
208 14281
208 22273
208 22533
208 28262
208 31951
208 31977
208 53941
208 60637
209 643
209 5680
209 6936
209 9434
209 27624
210 20029
210 24202
210 27910
210 53847
211 247
212 1450
212 27275
213 4783
213 27687
214 15349
214 22922
214 53848
215 4616
215 25548
215 61125
216 16930
216 17393
216 17749
216 26050
216 38759
217 2143
217 17059
217 24141
217 26531
217 27988
217 30269
217 60606
218 13981
218 14946
219 5655
219 10018
219 12758
219 13014
219 14446
219 15341
219 16595
219 19769
219 20032
219 58179
220 5785
220 17439
220 36360
220 57553
221 27923
221 55793
222 4106
222 9117
222 9393
222 20062
222 20204
222 36114
222 37654
223 7658
223 15569
224 3217
224 23422
225 11862
225 13749
225 22116
226 6607
226 53849
227 2425
227 6254
227 61991
228 19555
228 22293
228 53850
229 2945
229 4491
229 28678
229 53851
230 10479
230 53852
231 5405
231 21184
231 24925
232 1028
232 17565
232 32413
233 234
233 53853
234 245
234 53835
235 6358
235 24481
236 1740
236 8984
236 53854
237 339
238 1759
238 17060
238 19800
239 2628
239 9877
239 22659
240 19125
240 53859
240 59307
241 53855
242 19099
242 19125
242 59298
243 1368
243 3501
243 19915
243 26796
243 36581
243 36582
244 16101
244 26729
244 57374
245 246
245 7620
246 25578
246 53856
247 7763
247 32792
248 3897
248 6918
248 24643
249 5695
249 6071
249 19540
249 20163
249 21178
250 16589
250 24002
251 22494
251 33599
251 36698
252 16951
252 21879
252 53857
253 21443
253 53858
253 61713
254 20555
254 53860
254 58010
255 10498
255 10499
255 11295
255 11476
255 15136
255 17489
255 18095
255 19944
255 20889
255 25199
255 56903
255 56945
256 19046
256 28240
256 57202
257 26398
257 28926
257 53861
258 19086
258 24985
258 25460
259 260
259 27723
260 25799
260 53862
261 14287
261 22758
261 29409
262 23089
262 53863
263 17841
263 17871
263 24830
264 1007
264 1330
264 1590
264 4611
264 22375
264 25497
264 25919
264 31786
265 16423
265 53864
265 61701
266 12491
266 29838
266 53865
267 1061
267 1723
267 16791
268 817
268 1377
268 3394
268 8271
268 16482
268 19452
269 1283
269 13982
269 17458
269 23544
270 13347
270 15199
270 53866
271 13647
271 32599
271 32601
271 53867
272 1389
272 12131
272 27794
272 38281
272 57245
273 291
273 2726
273 2821
273 4016
273 4064
273 12261
274 15560
274 21281
275 15382
275 25876
275 53868
276 21344
276 22063
276 53869
277 5656
277 13610
277 24384
278 490
278 791
278 1941
278 2511
278 2655
278 2875
278 5845
278 6750
278 12660
278 14583
278 15115
278 22844
278 27740
278 30397
278 54241
279 1532
279 34147
279 34154
279 34164
279 36773
279 54688
279 61192
280 7216
280 7217
281 2335
281 3828
281 15732
282 12575
283 19625
283 21681
284 3639
284 18569
284 53870
285 21053
285 26231
286 17590
286 20610
286 21203
287 15918
287 17198
287 53871
288 1241
288 6466
288 10373
288 17149
288 24488
288 54597
289 9271
289 10081
289 13982
289 21373
289 36153
290 5519
290 13484
290 28519
291 292
291 12260
292 53872
292 63318
293 7669
293 17827
293 53873
294 3044
294 10770
294 54599
295 740
295 20972
296 4332
296 21024
296 21269
296 54168
297 1091
297 13404
297 14813
297 31425
297 62000
298 583
298 1911
298 11150
298 11176
298 16980
298 54166
298 54344
299 337
299 24042
300 319
300 24042
300 53874
301 14569
301 22240
301 53875
301 54332
302 6051
302 8638
303 4220
303 4250
304 742
304 10362
304 20549
305 23923
305 27192
306 1154
306 3412
306 3416
306 12881
306 15040
306 16161
306 28917
307 317
307 327
307 5973
307 6559
307 8512
307 14036
307 17276
307 18654
307 18806
307 21136
307 23069
307 28676
307 57772
308 4497
308 29463
308 53876
309 311
309 12261
309 12292
310 15999
310 53877
311 12774
311 53878
312 17128
312 17737
312 27795
312 59321
313 2426
313 3599
313 4291
313 5557
313 15086
313 17410
313 18222
313 22485
313 23430
313 62329
313 62357
314 2328
314 2645
314 3023
314 4767
314 13737
314 14313
314 26952
314 28839
314 53879
315 1150
315 1458
316 317
