seamless_id,original_id,lat,lon
1,0,42.54359,-70.9285537
2,1,36.3769931,-82.961231
3,2,43.0894616,-75.3340663
4,3,30.0090511,-89.9372786
5,4,41.6125604,-90.5660876
6,5,33.8550898,-86.8321447
7,6,42.3948735,-71.0248561
8,7,43.089016,-75.3341
9,8,41.8109526,-90.5358508
10,9,41.4084195,-81.7856982
11,10,31.5894833,-90.0672034
12,11,39.1332954,-94.4820592
13,12,34.2735812,-80.5960298
14,13,32.3396908,-90.2475867
15,14,38.3120875,-83.1304033
16,15,41.5942834,-83.5553031
17,16,36.5869318,-90.1790181
18,17,44.4031851,-103.846084
19,18,33.308773,-86.8444716
20,19,34.9608075,-79.7256915
21,20,34.8289526,-82.2890305
22,21,39.0092459,-94.2551417
23,22,37.9263912,-100.9718929
24,23,32.5254319,-93.5158252
25,24,44.898833,-97.656058
26,25,31.2680331,-88.0067254
27,26,31.2630965,-88.0091085
28,27,35.0328963,-81.4896659
29,28,44.976619,-97.105867
30,29,31.8547967,-85.1503686
31,30,43.9316499,-70.2036873
32,31,34.5571147,-90.6623338
33,32,39.6098241,-80.3629292
34,33,31.263793,-88.005318
35,34,33.5970257,-80.2734136
36,35,28.4709575,-81.4409865
37,36,44.8825709,-97.045002
38,37,34.8856718,-83.9735979
39,38,35.8994766,-89.7830049
40,39,43.063329,-75.381847
41,40,43.1239924,-75.3444945
42,41,44.9061343,-97.7390294
43,42,40.5171576,-79.1932501
44,43,31.0192208,-86.309691
45,44,37.371239,-85.337198
46,45,33.1575742,-86.2962056
47,46,44.8944375,-98.3016684
48,47,33.165722,-86.7618509
49,48,33.1537472,-86.303006
50,49,35.6075521,-84.4518164
51,50,36.8541179,-93.3110937
52,51,34.590394,-78.9772244
53,52,37.7732614,-82.0534517
54,53,35.5189362,-80.1450456
55,54,47.071839,-101.1960428
56,55,40.2541644,-74.1184663
57,56,41.4650123,-94.6615923
58,57,37.0299709,-76.3670871
59,58,35.0026102,-85.6204512
60,59,48.182207,-101.317476
61,60,43.140608,-71.4700743
62,61,36.2276736,-83.8455931
63,62,46.1050221,-98.9783208
64,63,42.1969899,-74.7438007
65,64,44.3124698,-73.2614565
66,65,34.8904489,-82.4373918
67,66,30.1643072,-84.1997911
68,67,37.0283843,-76.4296427
69,68,27.9067869,-82.3990203
70,69,47.3697147,-94.873049
