# us_powergrid_san_francisco — SEAMLESS input edge list
# generated: 2026-09-07
# N=135 E=163
1 11
1 18
1 37
1 47
1 111
1 119
2 3
2 116
2 122
3 5
4 22
4 33
4 36
4 61
4 67
4 96
4 102
5 104
6 60
7 8
7 20
8 66
8 81
9 112
10 44
10 115
11 62
11 104
11 111
12 82
12 103
12 113
13 95
13 104
14 15
14 65
14 112
15 17
15 65
15 72
15 112
15 130
16 32
16 35
16 64
17 36
17 65
17 72
17 112
18 69
18 73
19 36
19 114
19 124
20 81
20 98
21 22
21 49
21 133
22 49
23 42
23 76
24 47
24 117
25 97
25 114
26 44
26 64
27 41
27 74
27 120
28 36
29 44
29 115
30 46
30 53
30 54
30 94
31 118
32 95
33 46
34 74
36 60
36 65
36 85
36 88
36 124
37 39
37 70
38 39
38 58
38 108
39 74
39 104
39 120
40 112
41 120
42 67
43 56
43 75
43 109
44 45
44 68
44 95
44 104
44 107
45 81
45 98
47 104
48 68
48 83
49 61
50 57
50 80
51 55
51 85
51 121
52 75
53 106
53 118
54 109
55 99
56 99
56 102
57 63
57 71
58 79
59 104
60 118
62 77
63 91
63 123
64 84
64 100
64 135
66 67
67 92
69 103
69 129
69 134
71 76
71 90
72 130
73 125
73 128
75 86
76 80
78 98
81 101
81 126
84 127
84 132
86 105
86 114
87 89
87 101
88 124
89 100
92 93
94 97
95 104
96 131
107 110
