label,protocol,m,mean_AUC_S1,sd_AUC_S1,sem_AUC_S1,mean_AUC_S2,sd_AUC_S2,sem_AUC_S2,mean_p_LCC_0_5,sd_p_LCC_0_5,mean_p_LCC_0_25,sd_p_LCC_0_25,mean_p_LCC_0_1,sd_p_LCC_0_1,mean_p_LCC_0_05,sd_p_LCC_0_05,mean_max_S2_over_N,sd_max_S2_over_N,mean_p_at_max_S2,sd_p_at_max_S2,n
EU Power Grid,adap_degree,,0.014789001727912109,0.00030270322959741777,3.027032295974178e-05,0.002408769548880313,0.00025304515326331315,2.5304515326331314e-05,0.013592137610883735,0.000899392107756954,0.017330039225320372,0.0004797006896351607,0.022866087789581557,0.00035996341312498126,0.031076641311538474,0.0013379994940180065,0.20668199877750607,0.04084070177367151,0.014531632029339814,0.0011866944654128923,100
EU Power Grid,betweenness,,0.028789263730918998,,0.0,0.010112193739034143,,0.0,0.016824262034466034,,0.031603200273929134,,0.05492440537680786,,0.058711265546933,,0.3097188264058679,,0.0168856968215158,,1
EU Power Grid,degree,,0.01630236621640749,,0.0,0.003318079227934553,,0.0,0.013259743071057862,,0.017752628761365918,,0.025644728703087316,,0.02930337480474049,,0.2045996332518337,,0.0139058679706601,,1
EU Power Grid,random,,0.13297970528094372,0.003961229461227491,0.00039612294612274894,0.007958012736732053,0.001930806699073621,0.00019308066990736207,0.13362086558578284,0.006205340412489033,0.1848666125670732,0.013370248744948146,0.21959595120575834,0.014052436712801786,0.2466212438878852,0.014279552622685692,0.09042894254278723,0.037151153481985055,0.18062729217603907,0.03068453441781797,100
EU Power Grid,seamless,1.0,0.053520555884330585,0.0022462728827464355,0.00022462728827464363,0.004026454685295597,0.0012827029078646278,0.0001282702907864628,0.0560658146557062,0.003979982336469514,0.06911445315574376,0.0057584102783223455,0.08219157535821818,0.006123315710622766,0.09306699019016594,0.006868937199683198,0.11720293398533002,0.05999876977605043,0.06568536063569677,0.01083734686993342,100
EU Power Grid,seamless,2.0,0.03590179675450657,0.0015035018008315764,0.0001503501800831578,0.0030365343519567923,0.0009329176682039668,9.329176682039666e-05,0.03707513627612741,0.0028695947434296725,0.044732470628909206,0.003712126906328376,0.05358379959723921,0.003478991168464811,0.06223239521962515,0.004308086323317466,0.1495926039119804,0.06611066578698369,0.04143948655256719,0.006452752417268045,100
EU Power Grid,seamless,3.0,0.02960868433485416,0.0013269888588201405,0.00013269888588201406,0.002540575065309253,0.0006980443198145695,6.980443198145695e-05,0.030256647221406526,0.002356416923355185,0.036405746703332804,0.0029915995285720704,0.04441703951151308,0.0025642140048802425,0.053378596136465895,0.004129287745810252,0.14528254889975545,0.059240534162767956,0.03485406479217599,0.004915138911720801,100
EU Power Grid,seamless,4.0,0.02591430111655307,0.001087339722240619,0.00010873397222406188,0.0025089454995449122,0.0006970625070007323,6.970625070007324e-05,0.026184912373225858,0.002103951759262096,0.0312684326766272,0.002386007640590204,0.03876930146164645,0.0020019500690155196,0.04813369640282158,0.0037095708773692915,0.16441427261613686,0.06448395776806204,0.02954996943765276,0.004538333864965664,100
EU Power Grid,seamless,5.0,0.023599721257522834,0.0010236275382044652,0.00010236275382044654,0.002432863480834629,0.0005808357071976972,5.808357071976972e-05,0.023515236693608856,0.0017688126381409308,0.02815215083903884,0.0023837894915373354,0.035446693611290485,0.0022176456933919787,0.04479606516292276,0.003111307708315027,0.1670209352078239,0.06324156932524104,0.026192695599021952,0.0038473440164036774,100
EU Power Grid,seamless,6.0,0.02201064859498196,0.0009430576364375914,9.430576364375916e-05,0.0024700658820805115,0.0006073311457074859,6.073311457074857e-05,0.021543320951594103,0.002108937538515215,0.026315521324314348,0.0020251312450033122,0.03310979250967551,0.0020287166517160326,0.042919519092057185,0.0029612337696956225,0.1805219284841075,0.06762930943850812,0.024106815403422934,0.004175759767490663,100
