label,protocol,m,removed,p,mean_S1_over_N,sd_S1_over_N,sem_S1_over_N,mean_S2_over_N,sd_S2_over_N,sem_S2_over_N,n
EU Power Grid,adap_degree,,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100
EU Power Grid,adap_degree,,130,0.0009932762836185,0.9815460727383862,0.00035943563986181443,3.594356398618219e-05,0.001248930317848373,0.00022386962777174962,2.2386962777174966e-05,100
EU Power Grid,adap_degree,,260,0.0019865525672371,0.9644485788508557,0.0006656254929141076,6.65625492914112e-05,0.0023456601466992,0.0,8.717313461872983e-20,100
EU Power Grid,adap_degree,,390,0.0029798288508557,0.9467883557457212,0.0026399214356911927,0.0002639921435691193,0.002649831907090406,0.00023907401526712815,2.3907401526712815e-05,100
EU Power Grid,adap_degree,,520,0.0039731051344743,0.9234368123471881,0.0016192185804305397,0.0001619218580430537,0.0030103911980439903,9.910475048743192e-05,9.910475048743205e-06,100
EU Power Grid,adap_degree,,650,0.0049663814180929,0.9012345660146699,0.00652504008426331,0.0006525040084263302,0.006687347188264031,0.004529055510893232,0.0004529055510893232,100
EU Power Grid,adap_degree,,780,0.0059596577017114,0.873757793398533,0.0039028912849148464,0.0003902891284914844,0.011090999388753018,0.00030049853783833453,3.0049853783833457e-05,100
EU Power Grid,adap_degree,,910,0.00695293398533,0.8492981356968214,0.004973335837632972,0.0004973335837632958,0.010659077017114861,0.0002809741618048596,2.8097416180485947e-05,100
EU Power Grid,adap_degree,,1040,0.0079462102689486,0.8250268948655255,0.00376445157913598,0.0003764451579135976,0.010522463325183314,0.0020527644882750414,0.0002052764488275042,100
EU Power Grid,adap_degree,,1170,0.0089394865525672,0.7882422066014669,0.019806193580500647,0.001980619358050066,0.0189175580684596,0.013346855997819776,0.0013346855997819773,100
EU Power Grid,adap_degree,,1300,0.0099327628361858,0.7399544621026893,0.028803896835302146,0.0028803896835302143,0.02884948044009774,0.016878982022428442,0.0016878982022428442,100
EU Power Grid,adap_degree,,1430,0.0109260391198044,0.6718650672371638,0.030739827098125085,0.003073982709812508,0.04716518948655251,0.01843927679076427,0.0018439276790764268,100
EU Power Grid,adap_degree,,1560,0.0119193154034229,0.6046748166259168,0.04953143204428624,0.004953143204428624,0.06237988997555007,0.03949314176193464,0.003949314176193464,100
EU Power Grid,adap_degree,,1690,0.0129125916870415,0.5301564028117359,0.10148106494348741,0.010148106494348743,0.08493941014669922,0.08100677143088099,0.008100677143088101,100
EU Power Grid,adap_degree,,1820,0.0139058679706601,0.4310791564792176,0.11797303755668678,0.011797303755668679,0.12600542481662586,0.09548933612658612,0.00954893361265861,100
EU Power Grid,adap_degree,,1950,0.0148991442542787,0.34303514669926644,0.08557632852979832,0.008557632852979832,0.15750198655256717,0.07425825747725402,0.007425825747725402,100
EU Power Grid,adap_degree,,2080,0.0158924205378973,0.29151680929095347,0.03714878368430382,0.0037148783684303834,0.16175580684596572,0.03420854601165685,0.0034208546011656855,100
EU Power Grid,adap_degree,,2210,0.0168856968215158,0.25908465770171146,0.017395369654684065,0.001739536965468407,0.14432296760391192,0.010620417896345056,0.001062041789634506,100
