label,protocol,m,removed,p,mean_S1_over_N,sd_S1_over_N,sem_S1_over_N,mean_S2_over_N,sd_S2_over_N,sem_S2_over_N,n
EU Power Grid,adap_betweenness,,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100
EU Power Grid,adap_betweenness,,130,0.0009932762836185,0.9959031173594132,0.0008266912481119917,8.266912481119964e-05,0.000778422982885042,0.00046039810930553814,4.603981093055381e-05,100
EU Power Grid,adap_betweenness,,260,0.0019865525672371,0.9916442542787286,0.0008120544899840691,8.12054489984082e-05,0.0008623166259168311,0.00036127762939036076,3.6127762939036066e-05,100
EU Power Grid,adap_betweenness,,390,0.0029798288508557,0.9861215617359413,0.0010926333767125012,0.00010926333767124946,0.0015369040342297692,0.00030730973390310465,3.0730973390310465e-05,100
EU Power Grid,adap_betweenness,,520,0.0039731051344743,0.9779608801955989,0.004928602641367462,0.0004928602641367465,0.004102383863080629,0.004322582187807193,0.00043225821878071927,100
EU Power Grid,adap_betweenness,,650,0.0049663814180929,0.7476191167481662,0.19769857529084803,0.019769857529084816,0.21427857579462095,0.18403154217126305,0.018403154217126304,100
EU Power Grid,adap_betweenness,,780,0.0059596577017114,0.5547412897310513,0.08207211968643605,0.008207211968643602,0.3594904492665036,0.06572354899171093,0.006572354899171094,100
EU Power Grid,adap_betweenness,,910,0.00695293398533,0.48918643031784836,0.0549613996305011,0.005496139963050107,0.36287033924205375,0.01714010508435198,0.0017140105084351982,100
EU Power Grid,adap_betweenness,,1040,0.0079462102689486,0.4281445599022004,0.05270296986722071,0.00527029698672207,0.3549271852078239,0.016840213225371957,0.0016840213225371961,100
EU Power Grid,adap_betweenness,,1170,0.0089394865525672,0.3974462866748166,0.038137656775532984,0.0038137656775532975,0.34646347799510996,0.018411764184388127,0.0018411764184388126,100
EU Power Grid,adap_betweenness,,1300,0.0099327628361858,0.3690185666259168,0.03550989082936224,0.003550989082936224,0.3108871485330073,0.0504775925702551,0.005047759257025511,100
EU Power Grid,adap_betweenness,,1430,0.0109260391198044,0.3493944070904645,0.03326397756118086,0.0033263977561180853,0.26480722799511,0.0613283405279888,0.006132834052798879,100
EU Power Grid,adap_betweenness,,1560,0.0119193154034229,0.3213964700488997,0.04671405121629779,0.004671405121629781,0.20650710574572123,0.05390498797615863,0.005390498797615863,100
EU Power Grid,adap_betweenness,,1690,0.0129125916870415,0.28125519559902196,0.060515236045792786,0.006051523604579278,0.179939944987775,0.045291859815600966,0.004529185981560097,100
EU Power Grid,adap_betweenness,,1820,0.0139058679706601,0.2201516656479217,0.06327094650622225,0.0063270946506222255,0.15723999083129578,0.03438025494741782,0.003438025494741782,100
EU Power Grid,adap_betweenness,,1950,0.0148991442542787,0.17066251528117354,0.045919637723773776,0.0045919637723773775,0.13264578239608796,0.0248832372248686,0.00248832372248686,100
EU Power Grid,adap_betweenness,,2080,0.0158924205378973,0.14332067542787283,0.036583432614879785,0.0036583432614879776,0.11821424205378968,0.024011618551629494,0.0024011618551629497,100
EU Power Grid,adap_betweenness,,2210,0.0168856968215158,0.12690670843520777,0.02946711437430118,0.0029467114374301185,0.10390907701711485,0.021248318811151853,0.0021248318811151854,100
EU Power Grid,adap_betweenness,,2340,0.0178789731051344,0.11185513447432757,0.022247536147428124,0.0022247536147428125,0.09150496638141804,0.01670090368467315,0.0016700903684673154,100
EU Power Grid,adap_betweenness,,2470,0.018872249388753,0.09283205990220043,0.02152025377667779,0.0021520253776677795,0.07477742970660142,0.011680063307342232,0.0011680063307342229,100
EU Power Grid,adap_betweenness,,2600,0.0198655256723716,0.0783631570904645,0.014974131445485116,0.0014974131445485111,0.06813317542787281,0.007710788745436599,0.0007710788745436601,100
EU Power Grid,adap_betweenness,,2730,0.0208588019559902,0.07177131723716376,0.010998400685523832,0.001099840068552383,0.06432655867970655,0.005766645402066567,0.0005766645402066567,100
EU Power Grid,adap_betweenness,,2860,0.0218520782396088,0.06663210574572123,0.005124791657063613,0.0005124791657063613,0.06156204156479213,0.005520753868484084,0.0005520753868484086,100
EU Power Grid,adap_betweenness,,2990,0.0228453545232273,0.06444812041564787,0.005097735586297471,0.0005097735586297473,0.05764051039119799,0.005848001686375095,0.0005848001686375095,100
EU Power Grid,adap_betweenness,,3120,0.0238386308068459,0.06055569987775056,0.006890426239593778,0.0006890426239593776,0.05270385085574567,0.0054776792707428275,0.0005477679270742827,100
EU Power Grid,adap_betweenness,,3250,0.0248319070904645,0.05614509474327623,0.00746150573842798,0.0007461505738427978,0.04850213936430313,0.005229794329531449,0.0005229794329531448,100
EU Power Grid,adap_betweenness,,3380,0.0258251833740831,0.05112981356968211,0.006753733194642539,0.0006753733194642539,0.044843367970660096,0.004365761530153278,0.00043657615301532783,100
EU Power Grid,adap_betweenness,,3510,0.0268184596577017,0.04672287591687036,0.0058747620904869395,0.0005874762090486939,0.04183572738386303,0.0035839614121158203,0.000358396141211582,100
EU Power Grid,adap_betweenness,,3640,0.0278117359413202,0.043011613691931495,0.005549351800676943,0.0005549351800676943,0.039108190709046406,0.003586575403076625,0.0003586575403076626,100
EU Power Grid,adap_betweenness,,3770,0.0288050122249388,0.03982755195599017,0.00434858592323428,0.00043485859232342803,0.03654706601466987,0.002993940137269274,0.0002993940137269274,100
EU Power Grid,adap_betweenness,,3900,0.0297982885085574,0.03738623166259164,0.0035428084822556427,0.0003542808482255642,0.03436552567237158,0.0035248973784882966,0.00035248973784882955,100
EU Power Grid,adap_betweenness,,4030,0.030791564792176,0.03536934596577012,0.003620828014834486,0.0003620828014834486,0.03158152506112465,0.004092817371069676,0.00040928173710696764,100
EU Power Grid,adap_betweenness,,4160,0.0317848410757946,0.032466763447432705,0.004315716589837374,0.00043157165898373743,0.0282222646699266,0.004444853959699295,0.0004444853959699294,100
EU Power Grid,adap_betweenness,,4290,0.0327781173594132,0.028254660757946158,0.004882334233217368,0.00048823342332173674,0.024135314792175993,0.004003412088420196,0.0004003412088420196,100
EU Power Grid,adap_betweenness,,4420,0.0337713936430317,0.02494834963325178,0.004567755355238089,0.00045677553552380887,0.021894101466992617,0.0030812724878940155,0.00030812724878940157,100
EU Power Grid,adap_betweenness,,4550,0.0347646699266503,0.022659306234718776,0.0036282840364888448,0.00036282840364888443,0.020082441931540292,0.0020382539869537105,0.000203825398695371,100
EU Power Grid,adap_betweenness,,4680,0.0357579462102689,0.020410910757946158,0.0023228122065673843,0.0002322812206567386,0.018766503667481612,0.001686071336179543,0.0001686071336179543,100
EU Power Grid,adap_betweenness,,4810,0.0367512224938875,0.019429477383863032,0.0022863876760470933,0.00022863876760470943,0.017774831907090415,0.0017483684255848143,0.0001748368425584813,100
EU Power Grid,adap_betweenness,,4940,0.0377444987775061,0.018192924816625863,0.0020825214215103296,0.00020825214215103305,0.016530103911980388,0.0016412558687364106,0.0001641255868736411,100
EU Power Grid,adap_betweenness,,5070,0.0387377750611246,0.01713309902200484,0.0019820717387973984,0.00019820717387973984,0.015509245110024399,0.001456964436761772,0.0001456964436761772,100
