label,protocol,m,mean_AUC_S1,sd_AUC_S1,sem_AUC_S1,mean_AUC_S2,sd_AUC_S2,sem_AUC_S2,mean_p_LCC_0_5,sd_p_LCC_0_5,mean_p_LCC_0_25,sd_p_LCC_0_25,mean_p_LCC_0_1,sd_p_LCC_0_1,mean_p_LCC_0_05,sd_p_LCC_0_05,mean_max_S2_over_N,sd_max_S2_over_N,mean_p_at_max_S2,sd_p_at_max_S2,n
EU Railways,adap_degree,,0.029684404607811358,0.0007459509379402372,7.459509379402368e-05,0.0024801679453656535,0.00035799500756236984,3.579950075623699e-05,0.03214629339170522,0.001505065093057643,0.03643130283409807,0.001741340125525713,0.040895169221108724,0.0018411906103286827,0.04593972665000657,0.0024874584714274194,0.13334049449023053,0.04515003135197893,0.0349939809241596,0.002742876629075857,100
EU Railways,betweenness,,0.11235040686246411,,0.0,0.016098882199559527,,0.0,0.10415702071179427,,0.15177183600220281,,0.19863571660528512,,0.23902676173719772,,0.1639781461246411,,0.0620427817390499,,1
EU Railways,degree,,0.04475363111864301,,0.0,0.006010148432750279,,0.0,0.036459854727552095,,0.06779961979983475,,0.07478487377089098,,0.0774469282741988,,0.2327067321048245,,0.0370404667098805,,1
EU Railways,random,,0.06468943038414658,0.0030267280951659765,0.0003026728095165979,0.0071463272764303734,0.0012340791340519277,0.00012340791340519278,0.05454068808660916,0.004186474474588654,0.08935016678115668,0.00746815445810409,0.11477996806416646,0.012760761497484098,0.13921921782672667,0.013813154550007563,0.09498120196314469,0.035322687666211466,0.07243263265117136,0.03178763986095333,100
EU Railways,seamless,1.0,0.04821744364339201,0.002472687968123518,0.00024726879681235175,0.005314449475259017,0.0009172836395665704,9.172836395665701e-05,0.04314350793599752,0.003560478005264348,0.06515283543214319,0.006018506067379138,0.08158688341395179,0.006750063232564556,0.09824911464490155,0.00871187409787899,0.10413519770349103,0.0377556848217949,0.05783868876747842,0.01805053242191556,100
EU Railways,seamless,2.0,0.03936368841140252,0.0018532137501963625,0.00018532137501963618,0.0038278763571796583,0.0005586617121769251,5.586617121769251e-05,0.037838350466203194,0.0028420176745624316,0.05057584896178706,0.004281681683457543,0.06144541306656508,0.004809098755329114,0.07288143533359563,0.006628309858313561,0.11167959996295951,0.039328714500345884,0.047022872488193306,0.009051595696864848,100
EU Railways,seamless,3.0,0.035554503787099526,0.001482579792742609,0.00014825797927426088,0.003317218352187808,0.0006061865721103232,6.061865721103233e-05,0.03584348898857868,0.0022208651781913647,0.044604652903089424,0.0038292070400773198,0.053010982883270025,0.003513849241521879,0.06129297676786831,0.004375357086998564,0.1216312621539031,0.04724571067571115,0.041003796647837716,0.0073589169780253795,100
EU Railways,seamless,4.0,0.03363411714074172,0.0012864124433479129,0.0001286412443347911,0.0030786026640855515,0.0005281506732992666,5.281506732992667e-05,0.03476931706838,0.002293388932961999,0.041649649073371264,0.0029638189038863417,0.048826070488975394,0.003105710435385517,0.05582217796805466,0.003912262584984184,0.1315569960181498,0.043300827447342795,0.03883692934530971,0.005156352324249868,100
EU Railways,seamless,5.0,0.0322712728671352,0.0012053054054231428,0.00012053054054231426,0.002987178841527739,0.000497176080949514,4.97176080949514e-05,0.03358053022054631,0.001860433035496962,0.0394406446784868,0.002716146456694927,0.04614255007011017,0.0030055854208381207,0.05229212227534878,0.0036677927424769983,0.14600296323733675,0.046439582786938396,0.0369478655431058,0.004437093489487284,100
EU Railways,seamless,6.0,0.03145121600492526,0.0012727943100011338,0.0001272794310001135,0.0028639137317617437,0.0005688128317213325,5.688128317213324e-05,0.03287564588283402,0.0023264713987857805,0.038279342517699294,0.002447065623457411,0.04518560939474978,0.002402137483556264,0.05046170237698547,0.003025699114012833,0.14140253727196958,0.050290238754248436,0.03608667469210108,0.004407626496304592,100
EU Railways,seamless,7.0,0.031135611952010832,0.001123267982599928,0.0001123267982599928,0.00269089832572818,0.00046575645192648517,4.6575645192648514e-05,0.03216752891650862,0.002086505371235831,0.0378628609191128,0.002295031554994912,0.0442356946187368,0.0029641807597040833,0.04986277648745327,0.003369085782487249,0.13981331604778216,0.05150645494984247,0.034910639874062364,0.004384070330869722,100
