label,protocol,m,removed,p,mean_S1_over_N,sd_S1_over_N,sem_S1_over_N,mean_S2_over_N,sd_S2_over_N,sem_S2_over_N,n
EU Railways,adap_degree,,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100
EU Railways,adap_degree,,50,0.000926011667747,0.9957194184646725,5.87229738402348e-05,5.872297384022598e-06,0.001222335401426,0.0,2.1793283654682456e-20,100
EU Railways,adap_degree,,100,0.001852023335494,0.9944148532271506,7.079287946019993e-05,7.079287946022605e-06,0.001222335401426,0.0,2.1793283654682456e-20,100
EU Railways,adap_degree,,150,0.002778035003241,0.9903520696360775,0.002104853912782611,0.00021048539127826297,0.002385220853782706,0.0014616788208173385,0.00014616788208173385,100
EU Railways,adap_degree,,200,0.003704046670988,0.9853667932215946,0.0012684827804745962,0.00012684827804745826,0.003965552365959768,0.0008130057934888609,8.130057934888611e-05,100
EU Railways,adap_degree,,250,0.004630058338735,0.9754308732290028,0.01831094322155637,0.001831094322155636,0.010230576905268967,0.016314982362799175,0.0016314982362799172,100
EU Railways,adap_degree,,300,0.005556070006482,0.9647593295675526,0.02433410941534804,0.002433410941534805,0.017654042040929675,0.0221233340393908,0.00221233340393908,100
EU Railways,adap_degree,,350,0.006482081674229,0.9594021668673025,0.025368741921632958,0.0025368741921632954,0.019949069358273876,0.022943613042285337,0.002294361304228534,100
EU Railways,adap_degree,,400,0.0074080933419761,0.9540396332993795,0.026043192170430787,0.002604319217043081,0.022324844893045617,0.02362319928365568,0.0023623199283655675,100
EU Railways,adap_degree,,450,0.0083341050097231,0.9458220205574591,0.027847052819590032,0.002784705281959005,0.024988239651819576,0.02348467003832719,0.0023484670038327188,100
EU Railways,adap_degree,,500,0.0092601166774701,0.9328976757107139,0.028893209953376166,0.002889320995337618,0.029269006389480472,0.02215390783086265,0.002215390783086265,100
EU Railways,adap_degree,,550,0.0101861283452171,0.9191723307713677,0.03023200698846053,0.0030232006988460524,0.032433188258172006,0.02050984516760201,0.002050984516760201,100
EU Railways,adap_degree,,600,0.0111121400129641,0.9074890267617373,0.030758308259199892,0.0030758308259199885,0.03437744235577364,0.018473774845578758,0.001847377484557876,100
EU Railways,adap_degree,,650,0.0120381516807111,0.890187424761552,0.031166711225433286,0.003116671122543329,0.036531530697286735,0.016071930700195323,0.001607193070019532,100
EU Railways,adap_degree,,700,0.0129641633484581,0.8784637466432078,0.03167916505297306,0.003167916505297306,0.03678636910825072,0.015020382480586571,0.0015020382480586576,100
EU Railways,adap_degree,,750,0.0138901750162052,0.8618014630984351,0.031837688121310014,0.0031837688121310027,0.03918325770904709,0.012913620974762402,0.0012913620974762396,100
EU Railways,adap_degree,,800,0.0148161866839522,0.8436390406519122,0.030315948788435413,0.0030315948788435395,0.040415223631817716,0.01118719640316036,0.0011187196403160357,100
EU Railways,adap_degree,,850,0.0157421983516992,0.8283961477914622,0.026764886814809184,0.002676488681480917,0.04082841003796643,0.00969308096866692,0.0009693080968666921,100
EU Railways,adap_degree,,900,0.0166682100194462,0.8103050282433558,0.01847343292900612,0.0018473432929006109,0.04224391147328452,0.00624459928420308,0.0006244599284203079,100
EU Railways,adap_degree,,950,0.0175942216871932,0.793210852856746,0.00877224961375922,0.0008772249613759227,0.04278359107324748,0.0019107217397582074,0.0001910721739758207,100
