label,protocol,m,mean_AUC_S1,sd_AUC_S1,sem_AUC_S1,mean_AUC_S2,sd_AUC_S2,sem_AUC_S2,mean_p_LCC_0_5,sd_p_LCC_0_5,mean_p_LCC_0_25,sd_p_LCC_0_25,mean_p_LCC_0_1,sd_p_LCC_0_1,mean_p_LCC_0_05,sd_p_LCC_0_05,mean_max_S2_over_N,sd_max_S2_over_N,mean_p_at_max_S2,sd_p_at_max_S2,n
US Power Grid,adap_degree,,0.026531925432051115,0.0004149939623010764,4.1499396230107674e-05,0.0021370976159932487,0.00016660861687921676,1.666086168792168e-05,0.024906723300241528,0.0007171718120962488,0.03404709521451627,0.0012948452584778752,0.040447056766437166,0.0020841297473533074,0.05115895556852841,0.0025012161983294047,0.0938719104876419,0.010969376561967666,0.023350868403473578,0.007181997822056765,100
US Power Grid,betweenness,,0.03644782587485016,,0.0,0.003505307943567157,,0.0,0.03615810997261956,,0.041186451665637835,,0.05054449527562416,,0.057460504796647056,,0.0891505232687597,,0.0399409930973057,,1
US Power Grid,degree,,0.027403790461808766,,0.0,0.003132415473280596,,0.0,0.024335876426710635,,0.0316950611634467,,0.041713483623448344,,0.04641469950856324,,0.0806195724782899,,0.0418893342240035,,1
US Power Grid,random,,0.2073818762684638,0.004930568459776634,0.0004930568459776634,0.007734759003614204,0.0021164349631933336,0.00021164349631933336,0.22151460456661465,0.007495887370542517,0.28556242338539467,0.014745410442055672,0.32621885562188935,0.014477459723147594,0.35627020595581244,0.016493618802823323,0.08478456913827652,0.033769076190528144,0.28040525495435314,0.03267385842639916,100
US Power Grid,seamless,1.0,0.08541818956544171,0.002986884513049906,0.0002986884513049907,0.0045631029479602635,0.0009331113311583947,9.331113311583947e-05,0.09006819971982097,0.0052346557600166065,0.11013500570099506,0.006575575568348918,0.12721581201483737,0.00848156963753901,0.14270656708835577,0.009255431461568483,0.09867707637497214,0.037931469250461716,0.10458695168114002,0.015113061580298981,100
US Power Grid,seamless,2.0,0.056787855540028014,0.0017163677658331307,0.00017163677658331314,0.0033209295974801494,0.0007330237932973719,7.330237932973717e-05,0.05898475513169881,0.0030060970093925,0.07117960819823252,0.004864784206047094,0.0829831424683964,0.005340014402359467,0.09279084702657206,0.005845392233161309,0.10647781674460027,0.04434239749559519,0.06478234246270315,0.009970747588176372,100
US Power Grid,seamless,3.0,0.04643438988137952,0.001590548589765641,0.00015905485897656417,0.0027778000891562483,0.0005623335959098898,5.623335959098896e-05,0.048001734331384466,0.0023982637539531047,0.05844301173348697,0.0035606627874546237,0.06666348618329825,0.004470374197022323,0.07474198198971832,0.004685555055220688,0.10235916276998439,0.03575633333956352,0.05087118681808057,0.010148069360669804,100
US Power Grid,seamless,4.0,0.04082582520198237,0.0014501000495822712,0.0001450100049582272,0.002552056234304857,0.0004828142830761252,4.828142830761252e-05,0.0413750912880922,0.0022781431573263814,0.051139965631066674,0.0035246096939236388,0.0591312581891172,0.004162607503834424,0.06633449596262729,0.0038401522293605396,0.10277360276107768,0.03086688549475408,0.044860554442217725,0.008512211303073034,100
US Power Grid,seamless,5.0,0.0374961447603574,0.0011167016407553681,0.00011167016407553679,0.00246503813962816,0.0004656292350695312,4.656292350695311e-05,0.0379957080706647,0.0019705145164555784,0.047155902786214704,0.0026915414010731226,0.0539282664116921,0.0029916097172444276,0.06069986872010677,0.0038388984223883113,0.10224407147628586,0.030826260777566984,0.0422595190380761,0.007718937714904079,100
US Power Grid,seamless,6.0,0.035267637814038175,0.0010943513220372208,0.00010943513220372203,0.002280949241068528,0.0004037447777982335,4.0374477779823344e-05,0.03523816917711686,0.0020810760805870195,0.04437087478881499,0.0030001822126670004,0.051581292844146774,0.0032190280703382726,0.05790756572589583,0.003271861766355305,0.09686623246492981,0.030557327766972824,0.03808032732130924,0.00827201773327359,100
US Power Grid,seamless,7.0,0.03363736725365047,0.0008438104060243022,8.438104060243024e-05,0.0021889327197468582,0.0003593492425569,3.593492425568999e-05,0.03344947177971396,0.0018084402879360252,0.042506800354796655,0.0024006583431035802,0.04882270346755217,0.0030548592031951305,0.05544401361829134,0.003048676129627249,0.10187569583611664,0.034238755747385226,0.03618069472277884,0.007280840905377122,100
