label,protocol,m,removed,p,mean_S1_over_N,sd_S1_over_N,sem_S1_over_N,mean_S2_over_N,sd_S2_over_N,sem_S2_over_N,n
US Power Grid,adap_degree,,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100
US Power Grid,adap_degree,,70,0.0009741705633489,0.9920510465375194,0.00024426455765130003,2.4426455765130713e-05,0.0028529280783789,0.0,8.717313461872983e-20,100
US Power Grid,adap_degree,,140,0.0019483411266978,0.9853672623023826,0.0006453051315843392,6.453051315843199e-05,0.0028529280783789,0.0,8.717313461872983e-20,100
US Power Grid,adap_degree,,210,0.0029225116900467,0.9783063348920062,0.0010332272425144558,0.00010332272425144277,0.0028529280783789,0.0,8.717313461872983e-20,100
US Power Grid,adap_degree,,280,0.0038966822533956,0.9692201068804276,0.0008787317473254504,8.78731747325458e-05,0.0028529280783789,0.0,8.717313461872983e-20,100
US Power Grid,adap_degree,,350,0.0048708528167446,0.9623906145624583,0.0008505935815035422,8.505935815035441e-05,0.0028529280783789,0.0,8.717313461872983e-20,100
US Power Grid,adap_degree,,420,0.0058450233800935,0.9556092741037631,0.0006043238071176993,6.0432380711769984e-05,0.0028529280783789,0.0,8.717313461872983e-20,100
US Power Grid,adap_degree,,490,0.0068191939434424,0.9465958305499889,0.0020590765238103926,0.0002059076523810403,0.0031532509463370524,0.0005092135964843119,5.0921359648431204e-05,100
US Power Grid,adap_degree,,560,0.0077933645067913,0.9370869516811401,0.002537622206263284,0.0002537622206263241,0.0034304720552215,0.0005804535367020038,5.8045353670200376e-05,100
US Power Grid,adap_degree,,630,0.0087675350701402,0.9266918559340904,0.0020826291288116587,0.00020826291288116562,0.003800100200400764,0.00044600593314722623,4.4600593314722615e-05,100
US Power Grid,adap_degree,,700,0.0097417056334892,0.9157252004008016,0.002696173244615183,0.0002696173244615198,0.004155254954353121,0.0007879173276683022,7.879173276683023e-05,100
US Power Grid,adap_degree,,770,0.0107158761968381,0.903873997995992,0.0042739277604914635,0.0004273927760491472,0.004333945669115978,0.0009938983918637452,9.938983918637452e-05,100
US Power Grid,adap_degree,,840,0.011690046760187,0.8921985637942552,0.004447083499493301,0.00044470834994932916,0.004339651525272737,0.0009859854744019704,9.859854744019702e-05,100
US Power Grid,adap_degree,,910,0.0126642173235359,0.8785155032286797,0.003711221840065974,0.00037112218400659803,0.004333249832999301,0.0008043380906639828,8.04338090663983e-05,100
US Power Grid,adap_degree,,980,0.0136383878868848,0.8648382876864841,0.0018956377791207017,0.00018956377791207044,0.004228178579380956,0.0007600614501398147,7.600614501398147e-05,100
US Power Grid,adap_degree,,1050,0.0146125584502338,0.8480215987530617,0.008483880302583827,0.0008483880302583827,0.007157787797817819,0.006445558142608649,0.000644555814260865,100
US Power Grid,adap_degree,,1120,0.0155867290135827,0.8286877922511691,0.012197589379978247,0.0012197589379978264,0.010527443776441724,0.007796344941983675,0.0007796344941983673,100
US Power Grid,adap_degree,,1190,0.0165608995769316,0.8021654419951014,0.02157221919748626,0.0021572219197486257,0.017017089735025564,0.016964816185889613,0.0016964816185889614,100
US Power Grid,adap_degree,,1260,0.0175350701402805,0.7746826987307949,0.031112677345045033,0.0031112677345045033,0.022742568470273835,0.024005263645882947,0.002400526364588294,100
US Power Grid,adap_degree,,1330,0.0185092407036294,0.7132932531730127,0.050323070109102724,0.005032307010910274,0.05229027499443327,0.03797878517018367,0.0037978785170183667,100
US Power Grid,adap_degree,,1400,0.0194834112669784,0.6462227232242264,0.03060395718076425,0.0030603957180764235,0.07944848029392113,0.02061732894608185,0.0020617328946081854,100
US Power Grid,adap_degree,,1470,0.0204575818303273,0.6150473168559342,0.015741525248517185,0.0015741525248517188,0.08228122912491646,0.0015227093642424835,0.0001522709364242484,100
US Power Grid,adap_degree,,1540,0.0214317523936762,0.5917063293253173,0.021543359995002256,0.0021543359995002255,0.07987655867290132,0.004303466159041645,0.0004303466159041649,100
US Power Grid,adap_degree,,1610,0.0224059229570251,0.5686198786461812,0.023614511442074045,0.0023614511442074044,0.07594703295479845,0.007966644828202312,0.0007966644828202313,100
US Power Grid,adap_degree,,1680,0.023380093520374,0.5423008517034069,0.024808787926594116,0.0024808787926594114,0.07213023268759738,0.00960799322952701,0.0009607993229527011,100
US Power Grid,adap_degree,,1750,0.024354264083723,0.5163386495212648,0.026011528987775364,0.002601152898777535,0.06956705076820302,0.009999188145682304,0.0009999188145682302,100
US Power Grid,adap_degree,,1820,0.0253284346470719,0.4870570307281229,0.026398413887928008,0.002639841388792798,0.06430068470273877,0.010569127319952507,0.0010569127319952506,100
US Power Grid,adap_degree,,1890,0.0263026052104208,0.4607971498552661,0.02281898388286677,0.002281898388286676,0.058717852371409446,0.010221433215661843,0.0010221433215661844,100
US Power Grid,adap_degree,,1960,0.0272767757737697,0.43478916165664666,0.027657988127314216,0.002765798812731423,0.05380761523046087,0.009659431082668448,0.0009659431082668444,100
US Power Grid,adap_degree,,2030,0.0282509463371186,0.40809132153195277,0.025082208094530562,0.0025082208094530573,0.049003006012024,0.008345944940715949,0.0008345944940715948,100
US Power Grid,adap_degree,,2100,0.0292251169004676,0.37364506791360497,0.01508793134365803,0.0015087931343658039,0.042360971943887736,0.0037487992360680693,0.00037487992360680703,100
