label,protocol,m,removed,p,mean_S1_over_N,sd_S1_over_N,sem_S1_over_N,mean_S2_over_N,sd_S2_over_N,sem_S2_over_N,n
US Power Grid,adap_betweenness,,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100
US Power Grid,adap_betweenness,,70,0.0009741705633489,0.9972597973725229,5.227783191194521e-05,5.227783191192439e-06,0.0004175016700066,0.0,5.448320913670614e-21,100
US Power Grid,adap_betweenness,,140,0.0019483411266978,0.9949188655087954,0.000108249316589488,1.0824931658947349e-05,0.00042000668002664,2.5050100200399992e-05,2.505010020039999e-06,100
US Power Grid,adap_betweenness,,210,0.0029225116900467,0.9918964317523937,0.0006806323532388112,6.806323532388184e-05,0.0005984190603428321,0.00017706467808537534,1.7706467808537536e-05,100
US Power Grid,adap_betweenness,,280,0.0038966822533956,0.9238790080160321,0.09365235117921873,0.009365235117921873,0.06587786684480065,0.093391700009791,0.009339170000979103,100
US Power Grid,adap_betweenness,,350,0.0048708528167446,0.8304385159207304,0.08088695167357113,0.00808869516735711,0.15627532843464703,0.08064319780318406,0.008064319780318407,100
US Power Grid,adap_betweenness,,420,0.0058450233800935,0.787786127811178,0.01982152124294495,0.001982152124294495,0.19558116232464925,0.01971228617568195,0.0019712286175681947,100
US Power Grid,adap_betweenness,,490,0.0068191939434424,0.7826340180360722,0.0013045364391451567,0.00013045364391451447,0.1974575539968826,0.0009324434647138923,9.324434647138918e-05,100
US Power Grid,adap_betweenness,,560,0.0077933645067913,0.7657066911600979,0.04647620828015206,0.0046476208280152075,0.1986414495657982,0.011811669405450215,0.0011811669405450216,100
US Power Grid,adap_betweenness,,630,0.0087675350701402,0.7140332052994879,0.09885858656585972,0.009885858656585976,0.2084214261857047,0.03528581109316996,0.003528581109316995,100
US Power Grid,adap_betweenness,,700,0.0097417056334892,0.638061539746159,0.1269481423237632,0.01269481423237632,0.22628298263193047,0.05207189058059195,0.0052071890580591956,100
US Power Grid,adap_betweenness,,770,0.0107158761968381,0.49019344244043644,0.10021825844207562,0.010021825844207563,0.25138401803607213,0.060157298582552796,0.00601572985825528,100
US Power Grid,adap_betweenness,,840,0.011690046760187,0.4485489033622801,0.06471585362678105,0.006471585362678107,0.2440831663326653,0.05928337028690231,0.005928337028690231,100
US Power Grid,adap_betweenness,,910,0.0126642173235359,0.41115439211756843,0.06060827169647715,0.0060608271696477155,0.22106156757960363,0.04756533836765689,0.004756533836765689,100
US Power Grid,adap_betweenness,,980,0.0136383878868848,0.3748073925629036,0.06810078366921762,0.006810078366921763,0.21050712536183475,0.03575368821022028,0.003575368821022028,100
US Power Grid,adap_betweenness,,1050,0.0146125584502338,0.3336066577599644,0.06533853283797345,0.006533853283797344,0.20775982520596745,0.03324271949027104,0.003324271949027105,100
US Power Grid,adap_betweenness,,1120,0.0155867290135827,0.2777607993765308,0.07353978697638965,0.007353978697638963,0.19744948229792914,0.021235679549826275,0.0021235679549826284,100
US Power Grid,adap_betweenness,,1190,0.0165608995769316,0.23489645958583832,0.0557254641920116,0.00557254641920116,0.19098057225562232,0.010164618017612048,0.0010164618017612051,100
US Power Grid,adap_betweenness,,1260,0.0175350701402805,0.2044241260298374,0.02571194320620485,0.002571194320620486,0.18207929748385657,0.015971034912919953,0.0015971034912919961,100
US Power Grid,adap_betweenness,,1330,0.0185092407036294,0.1937192440436428,0.018313954198430422,0.0018313954198430423,0.17218255956357154,0.019943516909442256,0.0019943516909442264,100
US Power Grid,adap_betweenness,,1400,0.0194834112669784,0.18305277221108882,0.017000766918977468,0.0017000766918977464,0.15789913159652635,0.021783580948290505,0.0021783580948290505,100
US Power Grid,adap_betweenness,,1470,0.0204575818303273,0.16985985860610106,0.021086488433840707,0.002108648843384071,0.14327098641727898,0.019694195961410504,0.0019694195961410506,100
US Power Grid,adap_betweenness,,1540,0.0214317523936762,0.1568054163883322,0.020245499151400257,0.0020245499151400267,0.1312536183478067,0.016838235986472827,0.0016838235986472833,100
US Power Grid,adap_betweenness,,1610,0.0224059229570251,0.14293322756624355,0.017912654502301967,0.001791265450230197,0.11988950122467151,0.017397854250230854,0.0017397854250230855,100
US Power Grid,adap_betweenness,,1680,0.023380093520374,0.133460532175462,0.01676187700484474,0.0016761877004844747,0.11059535738142948,0.016588651156520567,0.0016588651156520568,100
US Power Grid,adap_betweenness,,1750,0.024354264083723,0.12591405032286793,0.01668709178228221,0.0016687091782282208,0.10353902248942325,0.01604272637251471,0.0016042726372514711,100
US Power Grid,adap_betweenness,,1820,0.0253284346470719,0.11689337007348026,0.015028828168441078,0.0015028828168441076,0.09307336896014247,0.012052028489019942,0.0012052028489019945,100
US Power Grid,adap_betweenness,,1890,0.0263026052104208,0.10936052660877307,0.015178758199915288,0.001517875819991529,0.0889227065241594,0.009072378127459556,0.0009072378127459556,100
US Power Grid,adap_betweenness,,1960,0.0272767757737697,0.09765252727677573,0.015030232279470514,0.0015030232279470515,0.08300239367624133,0.008099905217038196,0.0008099905217038194,100
US Power Grid,adap_betweenness,,2030,0.0282509463371186,0.09094828545980846,0.013270954408000702,0.00132709544080007,0.0793446615453128,0.00784657843726853,0.000784657843726853,100
US Power Grid,adap_betweenness,,2100,0.0292251169004676,0.0842805054553551,0.009977200623099348,0.0009977200623099349,0.07547497773324423,0.008192700270689865,0.0008192700270689867,100
US Power Grid,adap_betweenness,,2170,0.0301992874638165,0.07752463259853036,0.009286161146180062,0.0009286161146180064,0.06914453907815626,0.008401956671864734,0.0008401956671864735,100
US Power Grid,adap_betweenness,,2240,0.0311734580271654,0.07147934758405695,0.008887423941133432,0.0008887423941133432,0.06383878868848804,0.007537116498257935,0.0007537116498257934,100
US Power Grid,adap_betweenness,,2310,0.0321476285905143,0.06588802605210417,0.008483245933013816,0.0008483245933013819,0.05902861278111775,0.007100834204799761,0.0007100834204799763,100
US Power Grid,adap_betweenness,,2380,0.0331217991538632,0.06139403807615226,0.007973142010657228,0.0007973142010657228,0.054671843687374704,0.0071389280752038615,0.000713892807520386,100
US Power Grid,adap_betweenness,,2450,0.0340959697172122,0.05706760743709637,0.007099431485861227,0.0007099431485861227,0.05075553885548871,0.007071567277289583,0.0007071567277289583,100
US Power Grid,adap_betweenness,,2520,0.0350701402805611,0.05221303718548203,0.008090671547017038,0.0008090671547017041,0.04491343798708523,0.007826338305807649,0.0007826338305807649,100
US Power Grid,adap_betweenness,,2590,0.03604431084391,0.04699663215319523,0.007907723117558869,0.0007907723117558868,0.040493765308394526,0.006260587680128827,0.0006260587680128828,100
US Power Grid,adap_betweenness,,2660,0.0370184814072589,0.04084571921621014,0.0074872043221392084,0.0007487204322139207,0.03560983077265638,0.005418280571616182,0.0005418280571616183,100
US Power Grid,adap_betweenness,,2730,0.0379926519706078,0.03726438989089285,0.005995508464142845,0.0005995508464142847,0.03292863504787348,0.004301515244093878,0.00043015152440938775,100
US Power Grid,adap_betweenness,,2800,0.0389668225339568,0.03498970162547313,0.005677375136881023,0.0005677375136881023,0.0314423291026497,0.004128563125824498,0.00041285631258244985,100
US Power Grid,adap_betweenness,,2870,0.0399409930973057,0.03194694945446444,0.005016265466348447,0.0005016265466348447,0.028979625918503626,0.003610982137511834,0.00036109821375118333,100
US Power Grid,adap_betweenness,,2940,0.0409151636606546,0.029609635938543707,0.003995834374543683,0.0003995834374543682,0.027052438209752793,0.0030287388111729127,0.00030287388111729127,100
US Power Grid,adap_betweenness,,3010,0.0418893342240035,0.027051324871966105,0.0037208564860236396,0.00037208564860236385,0.02480126920507678,0.0028733871345330442,0.0002873387134533044,100
US Power Grid,adap_betweenness,,3080,0.0428635047873524,0.024924432197728746,0.0029437423916653447,0.00029437423916653453,0.023168420173680652,0.002525107317175597,0.00025251073171755976,100
US Power Grid,adap_betweenness,,3150,0.0438376753507014,0.02360665775996433,0.0027359438520398144,0.00027359438520398145,0.022179219550211494,0.0022649491088842007,0.00022649491088842007,100
US Power Grid,adap_betweenness,,3220,0.0448118459140503,0.02230836673346689,0.002352731939200352,0.00023527319392003515,0.02073188042752166,0.001905173205817049,0.00019051732058170486,100
US Power Grid,adap_betweenness,,3290,0.0457860164773992,0.02127268425740365,0.001967123770351824,0.00019671237703518238,0.019843576040970784,0.001873139504777666,0.0001873139504777666,100
US Power Grid,adap_betweenness,,3360,0.0467601870407481,0.02016421732353592,0.002053361939444049,0.00020533619394440494,0.018534290803829834,0.0020780883884356604,0.00020780883884356614,100
US Power Grid,adap_betweenness,,3430,0.047734357604097,0.018954297483856554,0.0024333631122563514,0.00024333631122563506,0.017234747272322375,0.0020240006356399463,0.00020240006356399463,100
US Power Grid,adap_betweenness,,3500,0.048708528167446,0.017960086840347313,0.002305728691603715,0.0002305728691603715,0.01639236806947223,0.0020180375765131878,0.00020180375765131876,100
US Power Grid,adap_betweenness,,3570,0.0496826987307949,0.016708138499220617,0.002304178682042028,0.0002304178682042028,0.015110498775328383,0.0017241805602249622,0.00017241805602249616,100
US Power Grid,adap_betweenness,,3640,0.0506568692941438,0.015790887330215938,0.0019496360309654184,0.00019496360309654187,0.014269511244711595,0.001640091167716557,0.00016400911677165575,100
US Power Grid,adap_betweenness,,3710,0.0516310398574927,0.014698424627031794,0.0019988167420284123,0.00019988167420284124,0.013240091293698457,0.0016297688082348087,0.0001629768808234809,100
US Power Grid,adap_betweenness,,3780,0.0526052104208416,0.013674988866622082,0.001989262581219295,0.00019892625812192944,0.012486361612113068,0.0016794237961576947,0.00016794237961576943,100
US Power Grid,adap_betweenness,,3850,0.0535793809841906,0.012920145847250002,0.0019922570964041805,0.00019922570964041805,0.011714679358717384,0.0014553483477358234,0.00014553483477358235,100
US Power Grid,adap_betweenness,,3920,0.0545535515475395,0.011919394344243993,0.0018853673734986298,0.00018853673734986297,0.010829854152749896,0.00131701262071903,0.00013170126207190302,100
US Power Grid,adap_betweenness,,3990,0.0555277221108884,0.011197673124025783,0.0016967391275810174,0.00016967391275810173,0.010394399910932932,0.0012299611798740355,0.00012299611798740354,100
US Power Grid,adap_betweenness,,4060,0.0565018926742373,0.010528696281451746,0.0015032498798050768,0.00015032498798050767,0.00977774994433306,0.0011683017589052878,0.00011683017589052876,100
US Power Grid,adap_betweenness,,4130,0.0574760632375862,0.010057754397684209,0.0013583688482367608,0.00013583688482367604,0.009314323090625649,0.0010812432774967426,0.00010812432774967425,100
US Power Grid,adap_betweenness,,4200,0.0584502338009352,0.009536712313515877,0.0011849065328957086,0.00011849065328957088,0.008803440213760803,0.0009716775855099121,9.716775855099118e-05,100
US Power Grid,adap_betweenness,,4270,0.0594244043642841,0.008967518370073433,0.0010909902254059671,0.00010909902254059669,0.008275439768425687,0.0008401128097635298,8.401128097635296e-05,100
US Power Grid,adap_betweenness,,4340,0.060398574927633,0.00846637719884208,0.0009098507350256131,9.098507350256128e-05,0.0078406813627254,0.0007223383004524634,7.223383004524635e-05,100
US Power Grid,adap_betweenness,,4410,0.0613727454909819,0.00795048430193716,0.0007857893829365996,7.857893829365996e-05,0.007397433756401644,0.0006647715637451798,6.647715637451797e-05,100
US Power Grid,adap_betweenness,,4480,0.0623469160543308,0.007569583611667728,0.0007165891915770412,7.165891915770413e-05,0.007043531507459317,0.0006148426896966185,6.148426896966183e-05,100
US Power Grid,adap_betweenness,,4550,0.0633210866176798,0.007303635047873478,0.0007236011504465026,7.236011504465024e-05,0.006742512803384503,0.0006437575174838273,6.437575174838273e-05,100
US Power Grid,adap_betweenness,,4620,0.0642952571810287,0.006945557782231082,0.0006532784428342379,6.53278442834238e-05,0.006431334892006187,0.000647482037588374,6.474820375883742e-05,100
US Power Grid,adap_betweenness,,4690,0.0652694277443776,0.006722055221554171,0.0006131339085955959,6.13133908595596e-05,0.006180973057225511,0.0006131850849841148,6.131850849841147e-05,100
US Power Grid,adap_betweenness,,4760,0.0662435983077265,0.006431474059229523,0.0006560436238988299,6.560436238988297e-05,0.005852538410153591,0.0005754605692306335,5.7546056923063364e-05,100
US Power Grid,adap_betweenness,,4830,0.0672177688710754,0.006148407926964999,0.0006294198820528285,6.294198820528283e-05,0.0055911823647294134,0.0005798452795010735,5.798452795010735e-05,100
US Power Grid,adap_betweenness,,4900,0.0681919394344244,0.005926018704074775,0.0007034038409858353,7.034038409858354e-05,0.0053262079714985035,0.0005597532347292377,5.597532347292377e-05,100
US Power Grid,adap_betweenness,,4970,0.0691661099977733,0.0055253562680916924,0.0006624665038335734,6.624665038335735e-05,0.005005149187263366,0.00045785623384171745,4.578562338417175e-05,100
US Power Grid,adap_betweenness,,5040,0.0701402805611222,0.00529851369405473,0.0006329342323267622,6.329342323267622e-05,0.004784151636606495,0.00040115080903528854,4.0115080903528856e-05,100
US Power Grid,adap_betweenness,,5110,0.0711144511244711,0.005029920953017095,0.0005842588115767131,5.842588115767131e-05,0.00456371075484297,0.00040407788804093416,4.0407788804093435e-05,100
US Power Grid,adap_betweenness,,5180,0.07208862168782,0.004799460031173408,0.0005598985188063307,5.5989851880633054e-05,0.004382932531730079,0.00038282458006820943,3.828245800682093e-05,100
US Power Grid,adap_betweenness,,5250,0.073062792251169,0.00462731017590732,0.0005374202531566247,5.3742025315662484e-05,0.004229013582720949,0.00033064753011572556,3.306475301157255e-05,100
US Power Grid,adap_betweenness,,5320,0.0740369628145179,0.004415358494767264,0.00048450134413125905,4.845013441312594e-05,0.00401344355377416,0.00031070226416401726,3.1070226416401726e-05,100
US Power Grid,adap_betweenness,,5390,0.0750111333778668,0.004273964595858335,0.00046387343256969454,4.638734325696948e-05,0.003869962146515203,0.00029273393958044523,2.9273393958044524e-05,100
US Power Grid,adap_betweenness,,5460,0.0759853039412157,0.0040606212424849145,0.0004525278691641828,4.525278691641827e-05,0.0036701180138053392,0.0003006946428636728,3.0069464286367263e-05,100
US Power Grid,adap_betweenness,,5530,0.0769594745045646,0.00389097639723887,0.00043905775792415667,4.390577579241566e-05,0.0035145290581161796,0.00028043106769788597,2.8043106769788597e-05,100
US Power Grid,adap_betweenness,,5600,0.0779336450679136,0.003751670006679976,0.00043622407116133835,4.362240711613385e-05,0.003409179470051161,0.0002808077681715556,2.808077681715556e-05,100
US Power Grid,adap_betweenness,,5670,0.0789078156312625,0.003548903362280063,0.00039834485855416723,3.983448585541673e-05,0.003236333778668398,0.0002457257938452971,2.4572579384529694e-05,100
US Power Grid,adap_betweenness,,5740,0.0798819861946114,0.003438682921398303,0.0003883712645481617,3.883712645481615e-05,0.0031373858828768132,0.0002514155558006817,2.5141555580068163e-05,100
US Power Grid,adap_betweenness,,5810,0.0808561567579603,0.003234663771988369,0.00038853322804057307,3.885332280405732e-05,0.002963148519260696,0.0002502719195353726,2.5027191953537263e-05,100
US Power Grid,adap_betweenness,,5880,0.0818303273213092,0.003081440659095915,0.0003524247654288667,3.524247654288667e-05,0.002838454687152034,0.00022239432673824169,2.2239432673824173e-05,100
US Power Grid,adap_betweenness,,5950,0.0828044978846582,0.0029621743486973415,0.0003018135098823655,3.018135098823655e-05,0.002749248496993938,0.00021320974843548927,2.1320974843548935e-05,100
US Power Grid,adap_betweenness,,6020,0.0837786684480071,0.0028430472055221063,0.00029456345009839027,2.945634500983902e-05,0.0026670006680026242,0.00020636640739800006,2.06366407398e-05,100
US Power Grid,adap_betweenness,,6090,0.084752839011356,0.0027543976842573543,0.0002588484657782677,2.5884846577826773e-05,0.002582108661767936,0.00020482396554005947,2.048239655400596e-05,100
US Power Grid,adap_betweenness,,6160,0.0857270095747049,0.002660459808505853,0.0002445101102912979,2.445101102912979e-05,0.002476898240926252,0.00018482718944366785,1.8482718944366795e-05,100
US Power Grid,adap_betweenness,,6230,0.0867011801380538,0.002577098641727851,0.0002272279598780435,2.2722795987804353e-05,0.0023935370741482538,0.00017361141042700646,1.736114104270065e-05,100
US Power Grid,adap_betweenness,,6300,0.0876753507014028,0.002483299933199684,0.00023084053646030717,2.308405364603071e-05,0.002334251837007304,0.00017757058836258754,1.7757058836258758e-05,100
US Power Grid,adap_betweenness,,6370,0.0886495212647517,0.002381012024048052,0.0002055930646809169,2.0559306468091692e-05,0.0022481073257625862,0.00015112796474004597,1.5112796474004599e-05,100
US Power Grid,adap_betweenness,,6440,0.0896236918281006,0.002298346693386728,0.0001765487861039904,1.7654878610399046e-05,0.002179219550211485,0.0001535254110541932,1.5352541105419316e-05,100
US Power Grid,adap_betweenness,,6510,0.0905978623914495,0.002228763081718946,0.00017192286211738909,1.7192286211738907e-05,0.0021030950790469362,0.00015192661711386853,1.5192661711386848e-05,100
US Power Grid,adap_betweenness,,6580,0.0915720329547984,0.002161266978401198,0.0001848538606142674,1.848538606142675e-05,0.0020396348252059177,0.00015110077830543712,1.5110077830543718e-05,100
US Power Grid,adap_betweenness,,6650,0.0925462035181474,0.002130232687597368,0.00018257241981101775,1.825724198110176e-05,0.00199440547762186,0.00015369861287803152,1.536986128780315e-05,100
US Power Grid,adap_betweenness,,6720,0.0935203740814963,0.0020499331997327467,0.00017695968536696915,1.769596853669691e-05,0.001905895123580445,0.00012929122353215323,1.292912235321532e-05,100
US Power Grid,adap_betweenness,,6790,0.0944945446448452,0.001993431307058509,0.00018230289227830727,1.8230289227830735e-05,0.0018609441104430599,0.00013023656136265232,1.302365613626523e-05,100
US Power Grid,adap_betweenness,,6860,0.0954687152081941,0.001926074370964099,0.0001881839782019526,1.8818397820195258e-05,0.001800267201068755,0.00013039328881350308,1.3039328881350312e-05,100
US Power Grid,adap_betweenness,,6930,0.096442885771543,0.001880149187263365,0.00017768782679890893,1.7768782679890896e-05,0.0017540636829213498,0.00012434789420951697,1.24347894209517e-05,100
