label,protocol,m,mean_AUC_S1,sd_AUC_S1,sem_AUC_S1,mean_AUC_S2,sd_AUC_S2,sem_AUC_S2,mean_p_LCC_0_5,sd_p_LCC_0_5,mean_p_LCC_0_25,sd_p_LCC_0_25,mean_p_LCC_0_1,sd_p_LCC_0_1,mean_p_LCC_0_05,sd_p_LCC_0_05,mean_max_S2_over_N,sd_max_S2_over_N,mean_p_at_max_S2,sd_p_at_max_S2,n
EU Power Grid — Paris,adap_betweenness,,0.02035543982098134,0.00027260972427239194,2.7260972427239196e-05,0.012107630933986835,6.325320601428046e-05,6.325320601428045e-06,0.007222655597035714,0.0,0.018082282680822768,0.0,0.03483997754070744,0.0,0.053284671532846634,0.0,0.4671532846715328,0.0,0.0072992700729927,0.0,100
EU Power Grid — Paris,adap_degree,,0.02995917470296756,0.0004174324158386021,4.174324158386021e-05,0.011890284511694755,0.0002546605617296696,2.546605617296696e-05,0.023581566446529898,0.0009168218864884708,0.030011921496312714,0.0021894830489525684,0.048543734793187306,0.0018981610578550562,0.06532491644608428,0.006022626052607934,0.2171532846715328,0.0,0.024653284671532782,0.0009168218864885013,100
EU Power Grid — Paris,betweenness,,0.054005274655016144,,0.0,0.024501838137354105,,0.0,0.043898138276060025,,0.04865419708029193,,0.07947782144862434,,0.23959854014598536,,0.1970802919708029,,0.010948905109489,,1
EU Power Grid — Paris,degree,,0.03497122915445674,,0.0,0.015174623048643986,,0.0,0.02747364152473639,,0.030109489051094847,,0.04750608272506076,,0.0761313868613138,,0.2171532846715328,,0.0291970802919708,,1
EU Power Grid — Paris,random,,0.22388393094997064,0.02559821943008078,0.0025598219430080773,0.03967036736107407,0.010222207048451986,0.0010222207048451986,0.19682322053575052,0.045817777365363556,0.2789718784176186,0.04996552510701264,0.420365630485585,0.06365972528562981,0.530715673370866,0.06652796662856245,0.1901642335766423,0.06646779095381491,0.21439781021897805,0.0717065291053482,100
EU Power Grid — Paris,seamless,1.0,0.0865496297085619,0.012783130188194118,0.0012783130188194116,0.025607051521125218,0.004220721226014462,0.00042207212260144625,0.061857487750140897,0.018188199579676767,0.09507691589731486,0.023808217945487212,0.1596963422379806,0.03481018880725734,0.24172729663279874,0.04849338343404452,0.19552919708029193,0.05783585250715212,0.05967153284671529,0.02903013448547914,100
EU Power Grid — Paris,seamless,2.0,0.06039330145452599,0.007456371382965904,0.0007456371382965903,0.018626458522030962,0.0024500144770732038,0.0002450014477073204,0.0426090036064733,0.010096492929036732,0.06517526333637963,0.014623348647037055,0.11129094947956246,0.023916491803538557,0.16027605004004827,0.028705360361332408,0.1953649635036496,0.0640334082763976,0.04003649635036492,0.019555782621357168,100
EU Power Grid — Paris,seamless,3.0,0.049965867920507126,0.0055266319009536725,0.0005526631900953674,0.016319496243806225,0.002446269880696156,0.00024462698806961556,0.03533833220006738,0.00817515325777541,0.05299085545889117,0.010798804252791823,0.08750178400015468,0.01726544976691133,0.13111229026131835,0.024560522245146262,0.2052919708029197,0.07356166038105917,0.031021897810218933,0.015221183212064638,100
EU Power Grid — Paris,seamless,4.0,0.04474272736959871,0.0044477473041614575,0.00044477473041614564,0.014642628802813095,0.001691898891874819,0.00016918988918748198,0.03204706716633441,0.006453972390857914,0.04627233583744817,0.008535144241334818,0.07764633159950948,0.014458350337188557,0.1133961707867156,0.019870451822629847,0.19277372262773718,0.06052486217561437,0.03003649635036492,0.012410222795131756,100
EU Power Grid — Paris,seamless,5.0,0.04083395492567522,0.003766922195647193,0.0003766922195647194,0.01413997149555112,0.0017233281192817384,0.00017233281192817387,0.029188053518706552,0.005808298258429694,0.042667769425831725,0.0079062775505462,0.0698801956243769,0.012887394566948146,0.10041930556945859,0.018994767727067083,0.20071167883211674,0.05910381689970005,0.024507299270072953,0.012488130965743563,100
EU Power Grid — Paris,seamless,6.0,0.03943966780329257,0.00358920555196227,0.00035892055519622703,0.013670014385422712,0.0015154945745552125,0.00015154945745552123,0.02808505736836488,0.005549224022810967,0.0417518742296848,0.008412203010423176,0.06680796087634068,0.010478083356780988,0.09478621462820933,0.0160624752038367,0.20421532846715323,0.0517308661485735,0.022518248175182443,0.011576718947770934,100
EU Power Grid — Paris,seamless,7.0,0.037857104800468756,0.0031840919180615747,0.0003184091918061573,0.013184772763599495,0.0014403245262340316,0.00014403245262340316,0.027432533707219035,0.005541483806759545,0.04028668809960741,0.0075486001836608755,0.06345941094569672,0.0101230472370897,0.0905584123344663,0.015162617862716138,0.20333941605839415,0.06650369048553913,0.022463503649634998,0.0109110376401955,100
EU Power Grid — Paris,seamless,8.0,0.036819855879375474,0.0028373511081047557,0.0002837351108104755,0.012832529703233998,0.001304898957128359,0.0001304898957128359,0.027528312735892877,0.004020762379316464,0.038122767395901515,0.006847069617228636,0.06013826510271411,0.009826172731209202,0.08651722425465008,0.015013983229263452,0.19970802919708025,0.05134464611580147,0.023722627737226238,0.010171734358837663,100
EU Power Grid — Paris,seamless,9.0,0.03579875725931047,0.002624040603448606,0.0002624040603448606,0.012697000372955347,0.0012321089947254845,0.00012321089947254845,0.02630541752460613,0.004221147756812555,0.03639393588893941,0.0059295767104799325,0.05837957629592747,0.007680214638414308,0.08405463218078468,0.013150567792433078,0.19879562043795615,0.05136658732440833,0.022208029197080252,0.009784253241593724,100
EU Power Grid — Paris,seamless,10.0,0.03494841893547861,0.00247589801177097,0.00024758980117709704,0.012617114657147363,0.0012198207932575453,0.00012198207932575451,0.02583204399590898,0.003366711208704514,0.034887531941804203,0.005448065488181361,0.0580306834568211,0.007757364104822932,0.08065505213409124,0.010750466143209783,0.1995255474452554,0.045662238462408355,0.021733576642335727,0.010404175867862055,100
EU Power Grid — Paris,seamless,11.0,0.03460107091480623,0.0020502527615771826,0.00020502527615771834,0.012442491608503324,0.0009538466841513295,9.538466841513297e-05,0.02571129997907805,0.0036475942092616983,0.03543036562045074,0.005344660477667094,0.05550596251220214,0.007161343179145544,0.08119757363083543,0.014561833882892998,0.20120437956204376,0.048998379785827086,0.019653284671532805,0.009889569554278478,100
EU Power Grid — Paris,seamless,12.0,0.033932781448132464,0.0022255353082446055,0.00022255353082446051,0.012409658213010757,0.0010466031949025257,0.00010466031949025256,0.025450785964515485,0.0036458277429460917,0.033741740730281675,0.004126856087806696,0.05418998170547782,0.006549591786698887,0.07538178491167156,0.010992913042550402,0.2016605839416058,0.05305364767964475,0.02062043795620434,0.009432236518646336,100
EU Power Grid — Paris,seamless,13.0,0.03388536283232981,0.002211017081968711,0.00022110170819687083,0.012383884330544987,0.001085470486201517,0.00010854704862015168,0.025872384501833982,0.0034907873264488423,0.0340436010546663,0.004426931297136012,0.05435356559287734,0.006762797808245056,0.0769760217948406,0.009065283280207696,0.19771897810218975,0.044013484475517416,0.021806569343065654,0.009042155916522384,100
EU Power Grid — Paris,seamless,14.0,0.0336478368586498,0.001730132699311406,0.0001730132699311405,0.012336166018434593,0.0010111063221111777,0.00010111063221111781,0.02521609749263578,0.003223246010265929,0.03474991119142492,0.004570171156030336,0.05420371043017675,0.006552199254061456,0.07466292719406109,0.009058024265255891,0.195985401459854,0.04569889294615708,0.019854014598540103,0.009449266924922475,100
EU Power Grid — Paris,seamless,15.0,0.032948911769406904,0.0016887981870581784,0.00016887981870581775,0.012296006713197234,0.0008702523714357744,8.70252371435774e-05,0.025332836775241178,0.0032182148636664635,0.033130985975430925,0.004133745578996408,0.051648325454104534,0.0058792795759440184,0.07312452148632512,0.010972898171758345,0.20534671532846713,0.043019536677879645,0.01987226277372259,0.009592752137698463,100
EU Power Grid — Paris,seamless,16.0,0.03284544994405659,0.0019329194082410696,0.00019329194082410688,0.012255780808780377,0.0009175182168779615,9.175182168779617e-05,0.025523739510441325,0.0027987754245657557,0.03335800026652259,0.004653030973311275,0.05234958466383015,0.006093526564563577,0.07150064303399659,0.00773393857052697,0.1986678832116788,0.028618388410684353,0.01972627737226273,0.009570987817603998,100
EU Power Grid — Paris,seamless,17.0,0.032712284884650125,0.001543887611492508,0.00015438876114925076,0.012308194363045387,0.0009372022448891861,9.37202244889186e-05,0.02533978792358655,0.002889883653683257,0.03274506472262859,0.003716347149486231,0.0525212122481437,0.005978018395199206,0.07212877347989548,0.007810101668309572,0.20541970802919704,0.039230901695306054,0.020437956204379524,0.009181050528077994,100
EU Power Grid — Paris,seamless,18.0,0.03242041398049966,0.0015227261820989146,0.0001522726182098916,0.012111660184346468,0.0008829898092928632,8.829898092928634e-05,0.024858395467310772,0.002477667438344292,0.03258413282321221,0.0037646996362511558,0.0507610971745536,0.005776078796464118,0.07052362251169608,0.008194368801447771,0.2005474452554744,0.02871442187744913,0.02093065693430653,0.008899979394820401,100
EU Power Grid — Paris,seamless,19.0,0.03225325003995941,0.0014015263075788575,0.00014015263075788572,0.012190813309179972,0.0008959228619875092,8.959228619875092e-05,0.024743567204613407,0.0025154940835195624,0.03214944323493149,0.0037984729467937695,0.05057106785915838,0.005204765540845335,0.06911518257564193,0.007114641680640171,0.20405109489051093,0.03728447496710734,0.02012773722627733,0.008619674276849055,100
