label,protocol,m,mean_AUC_S1,sd_AUC_S1,sem_AUC_S1,mean_AUC_S2,sd_AUC_S2,sem_AUC_S2,mean_p_LCC_0_5,sd_p_LCC_0_5,mean_p_LCC_0_25,sd_p_LCC_0_25,mean_p_LCC_0_1,sd_p_LCC_0_1,mean_p_LCC_0_05,sd_p_LCC_0_05,mean_max_S2_over_N,sd_max_S2_over_N,mean_p_at_max_S2,sd_p_at_max_S2,n
EU Railways — Netherlands,adap_betweenness,,0.029567471912424294,0.0002318106995684238,2.3181069956842325e-05,0.018096030887915296,0.0001430759262806848,1.4307592628068527e-05,0.014415285691881375,0.0,0.020978229556771824,0.0,0.05135396518375234,0.0,0.09868748273003583,0.0,0.4216634429400387,0.0,0.0096711798839458,0.0,100
EU Railways — Netherlands,adap_degree,,0.07895614858823212,0.0038652506598830395,0.000386525065988304,0.017937064376012425,0.0018350780539900199,0.00018350780539900198,0.06042340649368315,0.007211923192915535,0.08970777281396584,0.011950965866272641,0.12421428319721346,0.01219446506141045,0.179556935371142,0.016495833368395992,0.23263056092843326,0.061344734078807285,0.05723404255319145,0.011882459328573772,100
EU Railways — Netherlands,betweenness,,0.12842840520934262,,0.0,0.04815387090377826,,0.0,0.051757994678396396,,0.16736514076939604,,0.34291424887169564,,0.39848887814313344,,0.379110251450677,,0.0522243713733075,,1
EU Railways — Netherlands,degree,,0.09747688831190203,,0.0,0.03171099446666338,,0.0,0.06147793212590111,,0.1005302474488094,,0.16898774983881362,,0.25601225016118634,,0.1876208897485493,,0.0502901353965183,,1
EU Railways — Netherlands,random,,0.17546618080055662,0.017324099093650215,0.001732409909365021,0.037049897302171016,0.006948967380738753,0.0006948967380738752,0.14614304994815305,0.0282480442920631,0.21741098894195157,0.038927110178286525,0.3348811737947942,0.05660396099947086,0.4442319518278078,0.06508273968298361,0.1770406189555125,0.06979590754405503,0.14864603481624755,0.06074394099590796,100
EU Railways — Netherlands,seamless,1.0,0.13087429710912152,0.013167908797583946,0.001316790879758395,0.030366606931074562,0.005970749983882474,0.0005970749983882474,0.10469440214375152,0.02162542543610454,0.155499446843156,0.029239662450757677,0.2320408701685449,0.04003721319732333,0.33412849514070136,0.05078222800037433,0.1862088974854932,0.0649026609657318,0.11340425531914891,0.03984605305624475,100
EU Railways — Netherlands,seamless,2.0,0.09792756155322507,0.010879115711320577,0.0010879115711320585,0.026670382993688437,0.004095800744493046,0.00040958007444930473,0.07669814576192505,0.018610266111505028,0.11171813009632757,0.020703919263351217,0.17372235340439934,0.029877363174911385,0.24407786203963666,0.033688017300193204,0.2159767891682785,0.08220449804508616,0.07183752417794967,0.027179625543718396,100
EU Railways — Netherlands,seamless,3.0,0.09104684442681883,0.009893056941321867,0.0009893056941321873,0.024273913254941236,0.003869299799718262,0.0003869299799718262,0.07408101299967106,0.016425845187706782,0.10271332835879109,0.017151794226578056,0.1550602678202367,0.024854285498685322,0.22267382800219743,0.0334070554962409,0.20984526112185684,0.07587925384661066,0.07087040618955509,0.02309743120455308,100
EU Railways — Netherlands,seamless,4.0,0.08486974772624378,0.007580622611927007,0.0007580622611927007,0.02299933779541989,0.003298912072033336,0.0003298912072033336,0.06789747861968577,0.01181664785989734,0.09222474238962158,0.015260714544899067,0.14239933099766464,0.021588771405631674,0.21145525400252174,0.03176488378520888,0.2146228239845261,0.07470295162359379,0.06177949709864599,0.022220672753845774,100
EU Railways — Netherlands,seamless,5.0,0.08216230372368477,0.007257908702204684,0.0007257908702204683,0.022850622360067144,0.004280959621100987,0.0004280959621100988,0.06440218703109324,0.014179309131058151,0.09166567889076567,0.013780004382061341,0.13996100716246582,0.019030211573209003,0.2078022763503421,0.0353441799394517,0.21775628626692453,0.08968985797083144,0.056460348162475776,0.02266666858731796,100
EU Railways — Netherlands,seamless,6.0,0.07996198870885063,0.0067545489471106425,0.0006754548947110644,0.021946582163875007,0.0027045144191207475,0.00027045144191207475,0.06176992441089446,0.010789271516711874,0.08726475563534937,0.01242537210877993,0.13014834435478734,0.015522117502612238,0.19900627842491317,0.032382054709455925,0.22336557059961312,0.07881274950356347,0.05599613152804638,0.017274920370296567,100
EU Railways — Netherlands,seamless,7.0,0.07929248865460224,0.006752886320701077,0.000675288632070108,0.021800971981637805,0.0028849831364761583,0.0002884983136476159,0.0631984010420578,0.011397293276111244,0.08622955097798128,0.013305312852223378,0.12865560278119229,0.01777714774505453,0.19701945983463745,0.029783784059531974,0.21545454545454543,0.07752504476133547,0.056421663442939994,0.017753245100300158,100
EU Railways — Netherlands,seamless,8.0,0.07827422752152156,0.005891968467241122,0.0005891968467241123,0.021158371650161385,0.002604174856710727,0.0002604174856710727,0.062262619070810876,0.009729908688352528,0.08247751524004242,0.011782615928987245,0.1302963884607209,0.017501190217155165,0.19884644154201694,0.031279194302309445,0.2122437137330754,0.06836172223561067,0.05620889748549319,0.01694013479369461,100
EU Railways — Netherlands,seamless,9.0,0.07810418685392956,0.006426092593212388,0.0006426092593212389,0.021699695834845382,0.0032822504629254306,0.0003282250462925431,0.0602191873009569,0.011871089688641092,0.0836870178088927,0.011698969276573616,0.12644578328703293,0.016830042128416874,0.20554961897386942,0.03455039191061344,0.2150290135396518,0.07564759240907461,0.05562862669245644,0.018654352307970253,100
EU Railways — Netherlands,seamless,10.0,0.07670798274526815,0.006179238041189154,0.0006179238041189155,0.021622101919644976,0.002522280654367617,0.00025222806543676165,0.05915908560460272,0.011393909435853932,0.08121154080292543,0.011286822649905933,0.12509059356369437,0.016766875283576194,0.20148653763573118,0.028827611680674256,0.23723404255319147,0.077867695488449,0.05415860735009668,0.015534823262398184,100
EU Railways — Netherlands,seamless,11.0,0.07744389032096337,0.006723358664945599,0.00067233586649456,0.020857536224835237,0.002165040710790171,0.00021650407107901706,0.06100765967810694,0.011082737362301752,0.08187758595115943,0.011939510498851823,0.12576928187578867,0.015723925235593975,0.1949707684307418,0.03222015824275463,0.21789168278529977,0.06710273934468075,0.05719535783365567,0.016761698887422346,100
