label,protocol,m,mean_AUC_S1,sd_AUC_S1,sem_AUC_S1,mean_AUC_S2,sd_AUC_S2,sem_AUC_S2,mean_p_LCC_0_5,sd_p_LCC_0_5,mean_p_LCC_0_25,sd_p_LCC_0_25,mean_p_LCC_0_1,sd_p_LCC_0_1,mean_p_LCC_0_05,sd_p_LCC_0_05,mean_max_S2_over_N,sd_max_S2_over_N,mean_p_at_max_S2,sd_p_at_max_S2,n
US Power Grid — San Francisco,adap_betweenness,,0.03988806584362136,0.0004162285602597415,4.162285602597414e-05,0.03045432098765429,0.00039285206297060146,3.928520629706016e-05,0.008856682769726239,0.0,0.04153439153439149,0.0,0.06296296296296289,0.0,0.1277777777777777,0.0,0.362962962962963,0.0,0.007407407407407401,0.0,100
US Power Grid — San Francisco,adap_degree,,0.05710452674897115,0.0026814151176848297,0.00026814151176848307,0.031028257887517126,0.00144610077144013,0.000144610077144013,0.03150877192982453,0.005904844656952961,0.04837962962962958,0.0,0.13894807065362616,0.021287574301678873,0.19315105820105813,0.0230432782853717,0.237037037037037,0.0,0.018296296296296276,0.0037156559855303067,100
US Power Grid — San Francisco,betweenness,,0.07635116598079557,,0.0,0.047736625514403254,,0.0,0.0111111111111111,,0.0652263374485596,,0.2238095238095238,,0.30679012345679013,,0.362962962962963,,0.0074074074074074,,1
US Power Grid — San Francisco,degree,,0.07657064471879282,,0.0,0.0420301783264746,,0.0,0.023879142300194906,,0.06319444444444439,,0.22698412698412695,,0.3305555555555555,,0.237037037037037,,0.0222222222222222,,1
US Power Grid — San Francisco,random,,0.2162908093278463,0.04083061991261449,0.004083061991261449,0.07707983539094648,0.026648981688375352,0.002664898168837535,0.13391642798321737,0.07709239553316084,0.29543073418725074,0.06964276702491441,0.503625101544546,0.08778834898275498,0.6623342592592593,0.07629161337816101,0.29777777777777775,0.1076425821707679,0.12199999999999997,0.10241005422887331,100
US Power Grid — San Francisco,seamless,1.0,0.11787818930041145,0.019545923253231918,0.001954592325323192,0.050843347050754426,0.00847406315292713,0.0008474063152927128,0.06012767105791643,0.026830918093350795,0.13261668390365872,0.046754473673209875,0.2680456163178385,0.07258427704640377,0.4268932098765432,0.09072862210907162,0.2694074074074074,0.07148994210322832,0.046592592592592554,0.03255813912058527,100
US Power Grid — San Francisco,seamless,2.0,0.08680932784636482,0.014801309854819932,0.0014801309854819932,0.04053936899862823,0.0069410355937940624,0.0006941035593794062,0.04670453052429933,0.023351213213759228,0.09619706069763005,0.030415433414178388,0.18057946210168427,0.04248194383571197,0.30827885802469135,0.07179685698204236,0.26911111111111113,0.0719566808697903,0.030222222222222195,0.022671111555556418,100
US Power Grid — San Francisco,seamless,3.0,0.07370534979423864,0.011115626778002253,0.0011115626778002252,0.03625075445816184,0.004929328277200933,0.0004929328277200934,0.0355340735309325,0.016479630520064546,0.07539832958886634,0.024249122141835475,0.16511163419913416,0.039655412544316065,0.26117978395061725,0.057232258326107524,0.2645185185185185,0.06671482651709083,0.025407407407407386,0.018424903670834866,100
US Power Grid — San Francisco,seamless,4.0,0.06738491083676264,0.007290424307807624,0.0007290424307807626,0.03412126200274346,0.003954710529537142,0.00039547105295371416,0.0311504361705618,0.012466346279900493,0.06751909687807568,0.018598957006503894,0.14557431991876432,0.029172180483998736,0.2293978395061728,0.040920795794617736,0.27488888888888885,0.0663449442906342,0.023111111111111086,0.016080605044147378,100
US Power Grid — San Francisco,seamless,5.0,0.06269739368998622,0.007082657120884818,0.0007082657120884821,0.033007956104252376,0.00407006113179763,0.000407006113179763,0.029443549765614634,0.012315305093867336,0.06249329589357795,0.017973432568769928,0.1331225589225589,0.02870989292479837,0.20986613756613753,0.031660822632369585,0.2702222222222222,0.06070514409572242,0.021481481481481463,0.01464549708480237,100
US Power Grid — San Francisco,seamless,6.0,0.06160713305898487,0.0055476891016739225,0.0005547689101673924,0.03222716049382713,0.002990396228935473,0.0002990396228935473,0.028300567041904298,0.008147369016881954,0.05724158529434239,0.015104138228592332,0.13439772526855856,0.026825806982128064,0.21206397707231034,0.03435372174326398,0.2648888888888889,0.054189413144878455,0.021925925925925904,0.010418359383603337,100
US Power Grid — San Francisco,seamless,7.0,0.059312482853223554,0.0054865829907145384,0.0005486582990714541,0.031720713305898464,0.0033359420380737977,0.0003335942038073797,0.02800286829100833,0.008238944699496277,0.051043716931796566,0.012499896453317809,0.1294971547485436,0.02373281015126285,0.19683302469135797,0.026864686432688942,0.26540740740740737,0.057791925133953655,0.02111111111111109,0.013782797198227704,100
